"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Estructura_domicili","Nombre"
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Un home sol de 65 anys i més",481
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Un home sol de 65 anys i més",349
2020,7,"Horta-Guinardó",34,"Can Baró","Un home sol de 65 anys i més",111
2020,7,"Horta-Guinardó",35,"el Guinardó","Un home sol de 65 anys i més",533
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Un home sol de 65 anys i més",110
2020,7,"Horta-Guinardó",37,"el Carmel","Un home sol de 65 anys i més",398
2020,7,"Horta-Guinardó",38,"la Teixonera","Un home sol de 65 anys i més",120
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Un home sol de 65 anys i més",110
2020,7,"Horta-Guinardó",40,"Montbau","Un home sol de 65 anys i més",102
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Un home sol de 65 anys i més",90
2020,7,"Horta-Guinardó",42,"la Clota","Un home sol de 65 anys i més",8
2020,7,"Horta-Guinardó",43,"Horta","Un home sol de 65 anys i més",353
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Un home sol de 65 anys i més",331
2020,8,"Nou Barris",45,"Porta","Un home sol de 65 anys i més",367
2020,8,"Nou Barris",46,"el Turó de la Peira","Un home sol de 65 anys i més",219
2020,8,"Nou Barris",47,"Can Peguera","Un home sol de 65 anys i més",31
2020,8,"Nou Barris",48,"la Guineueta","Un home sol de 65 anys i més",233
2020,8,"Nou Barris",49,"Canyelles","Un home sol de 65 anys i més",115
2020,8,"Nou Barris",50,"les Roquetes","Un home sol de 65 anys i més",162
2020,8,"Nou Barris",51,"Verdun","Un home sol de 65 anys i més",188
2020,8,"Nou Barris",52,"la Prosperitat","Un home sol de 65 anys i més",444
2020,8,"Nou Barris",53,"la Trinitat Nova","Un home sol de 65 anys i més",118
2020,8,"Nou Barris",54,"Torre Baró","Un home sol de 65 anys i més",32
2020,8,"Nou Barris",55,"Ciutat Meridiana","Un home sol de 65 anys i més",96
2020,8,"Nou Barris",56,"Vallbona","Un home sol de 65 anys i més",10
2020,9,"Sant Andreu",57,"la Trinitat Vella","Un home sol de 65 anys i més",95
2020,9,"Sant Andreu",58,"Baró de Viver","Un home sol de 65 anys i més",47
2020,9,"Sant Andreu",59,"el Bon Pastor","Un home sol de 65 anys i més",118
2020,9,"Sant Andreu",60,"Sant Andreu","Un home sol de 65 anys i més",752
2020,9,"Sant Andreu",61,"la Sagrera","Un home sol de 65 anys i més",375
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Un home sol de 65 anys i més",204
2020,9,"Sant Andreu",63,"Navas","Un home sol de 65 anys i més",299
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Un home sol de 65 anys i més",547
2020,10,"Sant Martí",65,"el Clot","Un home sol de 65 anys i més",289
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Un home sol de 65 anys i més",224
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Un home sol de 65 anys i més",95
2020,10,"Sant Martí",68,"el Poblenou","Un home sol de 65 anys i més",373
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Un home sol de 65 anys i més",137
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Un home sol de 65 anys i més",291
2020,10,"Sant Martí",71,"Provençals del Poblenou","Un home sol de 65 anys i més",217
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Un home sol de 65 anys i més",352
2020,10,"Sant Martí",73,"la Verneda i la Pau","Un home sol de 65 anys i més",394
2020,1,"Ciutat Vella",1,"el Raval","Dues persones de 18 a 64 anys",2934
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dues persones de 18 a 64 anys",1337
2020,1,"Ciutat Vella",3,"la Barceloneta","Dues persones de 18 a 64 anys",1378
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dues persones de 18 a 64 anys",1974
2020,2,"Eixample",5,"el Fort Pienc","Dues persones de 18 a 64 anys",1710
2020,2,"Eixample",6,"la Sagrada Família","Dues persones de 18 a 64 anys",2975
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dues persones de 18 a 64 anys",2509
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dues persones de 18 a 64 anys",2532
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dues persones de 18 a 64 anys",3220
2020,2,"Eixample",10,"Sant Antoni","Dues persones de 18 a 64 anys",2252
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dues persones de 18 a 64 anys",2505
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dues persones de 18 a 64 anys",57
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dues persones de 18 a 64 anys",1411
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dues persones de 18 a 64 anys",575
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dues persones de 18 a 64 anys",1054
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dues persones de 18 a 64 anys",1056
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dues persones de 18 a 64 anys",1335
2020,3,"Sants-Montjuïc",18,"Sants","Dues persones de 18 a 64 anys",2413
2020,4,"Les Corts",19,"les Corts","Dues persones de 18 a 64 anys",2021
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dues persones de 18 a 64 anys",958
2020,4,"Les Corts",21,"Pedralbes","Dues persones de 18 a 64 anys",235
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dues persones de 18 a 64 anys",182
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dues persones de 18 a 64 anys",708
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dues persones de 18 a 64 anys",370
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dues persones de 18 a 64 anys",809
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dues persones de 18 a 64 anys",1731
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dues persones de 18 a 64 anys",1410
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dues persones de 18 a 64 anys",762
2020,6,"Gràcia",29,"el Coll","Dues persones de 18 a 64 anys",400
2020,6,"Gràcia",30,"la Salut","Dues persones de 18 a 64 anys",619
2020,6,"Gràcia",31,"la Vila de Gràcia","Dues persones de 18 a 64 anys",3641
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dues persones de 18 a 64 anys",1897
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dues persones de 18 a 64 anys",1421
2020,7,"Horta-Guinardó",34,"Can Baró","Dues persones de 18 a 64 anys",562
2020,7,"Horta-Guinardó",35,"el Guinardó","Dues persones de 18 a 64 anys",2058
