"﻿""CODI_CAPA""","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","EQUIPAMENT","ADRECA","TELEFON"
"G008","Serveis religiosos","Esglésies catòliques",431154.156,4581619.879,431062.218,4581418.95,2.175536,41.381342,1,2,"Ciutat Vella","el Barri Gòtic","Parròquia de Sant Jaume","C Ferran, 28","933022289"
"G009","Serveis religiosos","Esglésies evangèliques",431492.42299999995,4582629.756,431400.482,4582428.818,2.179467,41.390467,1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","Església Evangèlica Hillsong Barcelona","Ptge Sant Benet, 8",""
"G009","Serveis religiosos","Esglésies evangèliques",427278.38700000005,4584545.953,427186.485,4584344.998,2.128838,41.407354,5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","Església Evangèlica de parla Anglesa Saint George's Church","C Horaci, 38","934178867"
"G009","Serveis religiosos","Esglésies evangèliques",431549.758,4587947.969,431457.81799999997,4587746.981000001,2.17955,41.43837,8,45,"Nou Barris","Porta","Església Evangèlica Avivamiento","C Artà, 7",""
"G008","Serveis religiosos","Esglésies catòliques",429915.169,4582839.036,429823.242,4582638.096,2.1605790000000002,41.392215,2,7,"Eixample","la Dreta de l'Eixample","Església del Sagrat Cor","C Mallorca, 232","932152584"
"G010","Serveis religiosos","Mesquites",431392.92,4582070.855,431300.979,4581869.922,2.17834,41.385424,1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","Mesquita Abi Ayub Alansari","C Massanet, 5",""
"G009","Serveis religiosos","Esglésies evangèliques",432344.737,4588341.23,432252.79,4588140.239,2.189021,41.44198,9,60,"Sant Andreu","Sant Andreu","Església Evangèlica Comunitat Cristiana Vida Nova de Barcelona","C Palomar, 8-10","606085331"
"G008","Serveis religiosos","Esglésies catòliques",431097.18700000003,4581860.326,431005.249,4581659.395,2.1748279999999998,41.383503000000005,1,2,"Ciutat Vella","el Barri Gòtic","Oratori de Sant Felip Neri","Pl Sant Felip Neri, 5","933173116"
"G009","Serveis religiosos","Esglésies evangèliques",427967.74799999996,4579214.433999999,427875.838,4579013.528,2.1377189999999997,41.359398,3,13,"Sants-Montjuïc","la Marina de Port","Església Evangèlica Presbiteriana Coreana Jeilkyohye","C Mecànica, 22","934316182"
"G008","Serveis religiosos","Esglésies catòliques",425524.468,4583281.8719999995,425432.58200000005,4583080.929,2.108011,41.395809,4,21,"Les Corts","Pedralbes","Monestir de l'Encarnació","C Panamà, 12","932037569"
