"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
9030,678,775,251,120,797,285,1371,19,63,"07-03-2021 11:00:04"
9031,586,609,211,165,621,198,1131,17,47,"07-03-2021 11:00:04"
9032,1033,1167,417,229,1271,283,1902,49,249,"07-03-2021 11:00:04"
9033,1549,1676,411,252,1877,685,2781,99,345,"07-03-2021 11:00:04"
9034,662,755,137,128,734,418,1220,24,173,"07-03-2021 11:00:04"
9035,772,845,186,134,892,405,1402,42,173,"07-03-2021 11:00:04"
9036,667,747,146,118,740,410,1317,22,75,"07-03-2021 11:00:04"
9037,797,780,172,184,858,363,1246,19,312,"07-03-2021 11:00:04"
9038,807,952,266,139,973,381,1605,31,123,"07-03-2021 11:00:04"
9039,722,817,169,129,898,343,1399,35,105,"07-03-2021 11:00:04"
9040,749,860,251,135,908,315,1417,45,147,"07-03-2021 11:00:04"
9041,637,738,177,122,739,337,1257,39,79,"07-03-2021 11:00:04"
9042,571,702,133,101,746,293,1121,39,113,"07-03-2021 11:00:04"
9043,614,714,154,114,736,324,1139,51,138,"07-03-2021 11:00:04"
9044,736,775,197,141,852,321,1341,45,125,"07-03-2021 11:00:04"
9045,665,765,188,119,787,336,1305,19,106,"07-03-2021 11:00:04"
9046,639,697,163,91,766,316,1205,38,93,"07-03-2021 11:00:04"
9047,759,837,205,131,951,309,1446,36,114,"07-03-2021 11:00:04"
9048,641,747,169,110,731,378,1264,25,99,"07-03-2021 11:00:04"
9049,623,738,162,116,752,331,1126,19,216,"07-03-2021 11:00:04"
9050,729,802,174,126,872,359,1354,45,132,"07-03-2021 11:00:04"
9051,605,655,143,111,699,307,1114,51,95,"07-03-2021 11:00:04"
9052,574,643,142,99,686,290,1078,40,99,"07-03-2021 11:00:04"
9053,752,873,202,136,860,427,1467,46,112,"07-03-2021 11:00:04"
9054,514,595,119,92,589,309,990,23,96,"07-03-2021 11:00:04"
9055,824,919,230,124,853,536,1441,41,261,"07-03-2021 11:00:04"
9056,554,613,92,72,585,418,1028,20,119,"07-03-2021 11:00:04"
9057,794,868,179,158,932,393,1298,69,295,"07-03-2021 11:00:04"
9058,707,830,266,147,872,252,1322,37,178,"07-03-2021 11:00:04"
