"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Edat_quinquennal","Nombre"
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Espanyola","95-99 anys",179
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Espanyola","95-99 anys",108
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Espanyola","95-99 anys",115
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Espanyola","95-99 anys",25
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Espanyola","95-99 anys",93
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Espanyola","95-99 anys",34
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Espanyola","95-99 anys",53
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Espanyola","95-99 anys",23
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Espanyola","95-99 anys",16
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Espanyola","95-99 anys",34
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Espanyola","95-99 anys",24
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Espanyola","95-99 anys",3
2020,7,"Horta-Guinardó",43,"Horta","Dona","Espanyola","95-99 anys",77
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Espanyola","95-99 anys",92
2020,8,"Nou Barris",45,"Porta","Dona","Espanyola","95-99 anys",63
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Espanyola","95-99 anys",44
2020,8,"Nou Barris",47,"Can Peguera","Dona","Espanyola","95-99 anys",6
2020,8,"Nou Barris",48,"la Guineueta","Dona","Espanyola","95-99 anys",40
2020,8,"Nou Barris",49,"Canyelles","Dona","Espanyola","95-99 anys",14
2020,8,"Nou Barris",50,"les Roquetes","Dona","Espanyola","95-99 anys",17
2020,8,"Nou Barris",51,"Verdun","Dona","Espanyola","95-99 anys",24
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Espanyola","95-99 anys",50
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Espanyola","95-99 anys",17
2020,8,"Nou Barris",54,"Torre Baró","Dona","Espanyola","95-99 anys",2
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Espanyola","95-99 anys",4
2020,8,"Nou Barris",56,"Vallbona","Dona","Espanyola","95-99 anys",4
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Espanyola","95-99 anys",9
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Espanyola","95-99 anys",5
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Espanyola","95-99 anys",15
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Espanyola","95-99 anys",122
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Espanyola","95-99 anys",63
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Espanyola","95-99 anys",47
2020,9,"Sant Andreu",63,"Navas","Dona","Espanyola","95-99 anys",58
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Espanyola","95-99 anys",107
2020,10,"Sant Martí",65,"el Clot","Dona","Espanyola","95-99 anys",54
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Espanyola","95-99 anys",35
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Espanyola","95-99 anys",11
2020,10,"Sant Martí",68,"el Poblenou","Dona","Espanyola","95-99 anys",87
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Espanyola","95-99 anys",14
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Espanyola","95-99 anys",32
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Espanyola","95-99 anys",26
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Espanyola","95-99 anys",58
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Espanyola","95-99 anys",72
2020,1,"Ciutat Vella",1,"el Raval","Dona","Espanyola","100 anys i més",9
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Espanyola","100 anys i més",5
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Espanyola","100 anys i més",5
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Espanyola","100 anys i més",6
2020,2,"Eixample",5,"el Fort Pienc","Dona","Espanyola","100 anys i més",13
2020,2,"Eixample",6,"la Sagrada Família","Dona","Espanyola","100 anys i més",29
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Espanyola","100 anys i més",36
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Espanyola","100 anys i més",39
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Espanyola","100 anys i més",33
