"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 47"
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1964-04-10","1964-08-31","1999-01-16","1964-09-02","Aprovada pel Plenari del Consell Municipal de 10-04-1964 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91630 (ed. 1993 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91631 (ed. 1984 en castellà) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91634 (ed. 1981 en castellà) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96474 (ed. 1978 en castellà) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91633 (ed. 1964 en castellà)","Modificada pel Plenari del Consell Municipal de 26-04-1971 [http://hdl.handle.net/11703/101480] | Derogats els arts. 33, 34 (paràgraf 1), 35 (paràgrafs 1 i 2), 36-43 i 69-79 per l'Ordenança sobre utilització dels béns d'ús públic municipal [1971] [http://hdl.handle.net/11703/91650] | Modificada pel Plenari del Consell Municipal de 17-05-1974 [http://hdl.handle.net/11703/100503] | Derogats els art. 64-66 i 89-92 per l'Ordenança sobre publicitat [1979] [http://hdl.handle.net/11703/99960] | Modificada pel Plenari del Consell Municipal de 29-06-1979 [http://hdl.handle.net/11703/100504] | Modificada pel Plenari del Consell Municipal de 14-03-1980] [http://hdl.handle.net/11703/100507] | Modificada per la Modificación de los articulos de las ordenanzas municipales que regulan la imposición de multas para adaptarlos a lo dispuesto en el Real Decreto-ley 11/79, de 20 de julio [http://hdl.handle.net/11703/100996] | Derogats els art. 120-132 per l'Ordenança de zones naturals i espais verd [1982] [http://hdl.handle.net/11703/96464] | Derogats els art. 97-101 per l'Ordenança sobre el control de la contaminació per agents físics [1983] [http://hdl.handle.net/11703/91639] | Derogats els art. 11-32 per l'Ordenança de la neteja [1983] [http://hdl.handle.net/11703/91655] | Derogats els art. 112-117 per l'Ordenança sobre tinença d'animals [1983] [http://hdl.handle.net/11703/91649] | Derogats els art. 44-47 i 82-87 per les Normes reguladores de les activitats desenvolupades a la via pública [1987][http://hdl.handle.net/11703/91616]","Deroga els art. 14, 16 al 20, 290 al 299, 337 al 358, 360 al 362, 839 al 876, 880 al 916, 1.877 al 1.882 i 1.993 al 1.940 de les Ordenanzas municipales [1947] i modificacions posteriors [http://hdl.handle.net/11703/96474] | Deroga les Normes reguladores de tómboles [1962] [http://hdl.handle.net/11703/100453]","Digitalitzat pel SEDAC","","application/pdf","23 p.","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 210 (01-09-1964), p. 2 | Gaseta Municipal de Barcelona, núm 8 (31-08-1964), p. 487-503","","","http://hdl.handle.net/11703/100459","spa","","http://hdl.handle.net/11703/91630 | http://hdl.handle.net/11703/91631 | http://hdl.handle.net/11703/91634 | http://hdl.handle.net/11703/96474 | http://hdl.handle.net/11703/91633","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/89244","http://hdl.handle.net/11703/96474","","http://hdl.handle.net/11703/100453","http://hdl.handle.net/11703/101480 | http://hdl.handle.net/11703/91650 | http://hdl.handle.net/11703/100503 | http://hdl.handle.net/11703/99960 | http://hdl.handle.net/11703/100504 | http://hdl.handle.net/11703/100507 | http://hdl.handle.net/11703/100996 | http://hdl.handle.net/11703/96464 | http://hdl.handle.net/11703/91639 | http://hdl.handle.net/11703/91655 | http://hdl.handle.net/11703/91649 | http://hdl.handle.net/11703/91616","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Espais públics | Vianants | Public spaces | Pedestrians | Espacios públicos | Peatones","Legislació i justícia | Urbanisme i infraestructures","documents digitalitzats | ordenances municipals","Ordenanza de policía de vía pública [1964]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1974-05-17","1975-06-10","1999-01-16","1975-05-09","Aprovada pel Plenari del Consell Municipal de 17-05-1974","","Modifica l'Ordenanza de policía de vía pública [1964] [http://hdl.handle.net/11703/100459]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Gaseta Municipal de Barcelona, núm. 16 (10-06-1975), p. 402","","","http://hdl.handle.net/11703/100503","spa","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/100459","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Espais públics | Vianants | Public spaces | Pedestrians | Espacios públicos | Peatones","Legislació i justícia | Urbanisme i infraestructures","documents digitalitzats | ordenances municipals","Ordenança de policía de la vía pública [1964] : modificació [1974-05-17]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1987-07-22","1987-10-16","1999-01-16","1987-10-17","Aprovada pel Plenari del Consell Municipal de 22-07-1987","","Modifica l'Ordenança de la neteja [1983] [http://hdl.handle.net/11703/91655]","Digitalitzat pel SEDAC","","application/pdf","5 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 248 (16-10-1987), p. 4-8 | Publicada també a la Gaseta municipal de Barcelona, núm. 33 (30-12-1987), p. 921-926","","","http://hdl.handle.net/11703/99089","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91655","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Neteja | Neteja de carrers | Cleaning | Street cleaning | Limpieza | Limpieza urbana","Legislació i justícia | Medi ambient","ordenances municipals | documents digitalitzats","Ordenança de la neteja [1983] : modificació [1987-07-22]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1992-11-27","1993-02-28","1999-06-16","","Aprovada pel Plenari del Consell Municipal de 28-02-1993 i 27-11-1992","","Modifica l'Ordenança de protecció de l'atmosfera [1982] [http://hdl.handle.net/11703/91637]","","","application/pdf","2 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 6 (28-02-1993), p. 123-124","","","http://hdl.handle.net/11703/107764","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91637","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Atmosfera | Medi ambient | Atmosphere | Environment | Atmósfera | Medio ambiente","Legislació i justícia | Medi ambient","documents digitalitzats | ordenances municipals","Ordenança de protecció de l'atmosfera [1982] : modificació [1992-11-27]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1992-06-26","1992-11-11","1997-10-03","1992-11-12","Aprovada pel Plenari del Consell Municipal de 26-06-1992 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/98729 (ed. 1993 en català)","Derogada per l'Ordenança municipal de condicions de protecció contra incendis [1997] [http://hdl.handle.net/11703/86849]","Deroga l'Ordenança sobre les condicions de protecció contra incendis en els edificis [1990] [http://hdl.handle.net/11703/91611]","Digitalitzat pel SEDAC","","application/pdf","36 p.","application/pdf","6421","","Butlletí Oficial de la Província de Barcelona, núm. 271 (11-11-1992) | Publicada també a la Gaseta Municipal de Barcelona, núm. 35 (20-12-1992), p. 1066-1081","","","http://hdl.handle.net/11703/91623","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/98729","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/86849","","","http://hdl.handle.net/11703/91611","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Incendis | Fires | Incendios","Legislació i justícia | Seguretat","ordenances municipals | documents digitalitzats","Ordenança de condicions de protecció contra incendis en els edificis [1992]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1979-06-29","1980-02-10","1983-03-01","1980-01-24","Aprovada pel Plenari del Consell Municipal el 29-06-1979 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96488 (ed. 1994 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96487 (ed. 1984 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96486 (ed. 1984 en castellà)","Derogada per l'Ordenança de protecció de l'atmosfera [1982] [http://hdl.handle.net/11703/91637]","Deroga l'Ordenanza sobre instalaciones susceptibles de emitir humo, gases, vapores y polvo [1973] [http://hdl.handle.net/11703/100102]","Digitalitzat pel SEDAC","","application/pdf","5 p.","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 20 (24-01-1980), p. 4 | Gaseta Municipal de Barcelona, núm. 4 (10-02-1980), p. 92-95","","","http://hdl.handle.net/11703/100019","spa","","http://hdl.handle.net/11703/96488 | http://hdl.handle.net/11703/96487 | http://hdl.handle.net/11703/96486","","","","","","http://hdl.handle.net/11703/91637","http://hdl.handle.net/11703/100102","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Indústria | Construcció | Environment | Industry | Building | Medio ambiente | Industria | Construcción","Legislació i justícia | Indústria | Medi ambient","ordenances municipals | documents digitalitzats","Ordenanza sobre instalaciones susceptibles de emitir humo, gases, vapores y polvo [1980]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1974-05-17","1975-02-28","1980-01-20","1975-02-25","Aprovada pel Plenari del Consell Municipal de 17-05-1974 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96488 (ed. 1994 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96487 (ed. 1984 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96486 (ed. 1984 en castellà) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96485 (ed. 1971 en castellà)","Deroga l'Ordenanza municipal sobre instalaciones susceptibles de emitir humos, gases, vapores y polvo [1967] [http://hdl.handle.net/11703/100019]","Derogada per l'Ordenanza municipal sobre instalaciones susceptibles de emitir humos, gases, vapores y polvo [1980] [http://hdl.handle.net/11703/100019]","Digitalitzat pel SEDAC","","application/pdf","5 p.","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 48 (25-02-1975), p. 13 | Gaseta Municipal de Barcelona, núm. 6 (28-02-1975), p. 214-218","","","http://hdl.handle.net/11703/100102","spa","","http://hdl.handle.net/11703/96488 | http://hdl.handle.net/11703/96487 | http://hdl.handle.net/11703/96486 | http://hdl.handle.net/11703/96485","","","","","","http://hdl.handle.net/11703/100019","http://hdl.handle.net/11703/100019","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Indústria | Construcció | Environment | Industry | Building | Medio ambiente | Industria | Construcción","Legislació i justícia | Medi ambient","documents digitalitzats | ordenances municipals","Ordenanza sobre instalaciones susceptibles de emitir humo, gases, vapores y polvo [1974]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1975-11-27","1985-04-26","2007-12-31","1985-04-27","Aprovada pel Plenari del Consell Municipal de 27-11-1984","","Modifica l'Ordenança de mercats [1968] [http://hdl.handle.net/11703/96461]","Digitalitzat pel SEDAC","","application/pdf","","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 100 (26-04-1985), p. 6 | Gaseta Municipal de Barcelona, núm. 14 (20-05-1985), p. 310","","","http://hdl.handle.net/11703/101454","spa | cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/96461","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Mercats | Markets | Mercados","Comerç | Legislació i justícia","documents digitalitzats | ordenances municipals","Ordenanzas municipales sobre mercados [1968] : modificació [1984-11-27]","Ordenanza de mercados [1968] : modificació [1984-11-27] | Ordenança de mercats [1968] :  modificació [1984-11-27]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1999-07-16","1999-07-30","2011-05-18","1999-07-31","Aprovada pel Plenari del Consell Municipal de 30-07-1999","","Modifica l'Ordenança general del medi ambient urbà [1999] [http://hdl.handle.net/11703/91612]","","","application/pdf","3 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 181 (30-07-1999), p. 25-27 | Correccions d'errades: Butlletí Oficial de la Província de Barcelona, núm. 265 (05-11-1999), p. 44","","","http://hdl.handle.net/11703/97302","cat","","","","","","","","","http://hdl.handle.net/11703/91612","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Energia tèrmica solar | Environment | Solar thermal energy | Medio ambiente | Energía térmica solar","Legislació i justícia | Medi ambient","ordenances municipals","Ordenança general del medi ambient urbà [1999] : modificació [1999-07-16]","Annex sobre captació solar tèrmica de l'ordenança general del medi ambient urbà [1999]","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1966-04-25","1968-08-31","2001-09-30","1968-12-13","Aprovada pel Plenari del Consell Municipal el 25-04-1966 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96488 (ed. 1994 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96487 (ed. 1984 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96486 (ed. 1984 en castellà) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96485 (ed. 1971 en castellà)","Derogada per l'Ordenança municipal d'activitats i d'intervenció integral de l'administració ambiental de Barcelona [2001] [http://hdl.handle.net/11703/89255]","","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Gaseta Municipal de Barcelona, núm. 24 (31-08-1968), p. 795","","","http://hdl.handle.net/11703/99626","spa","","http://hdl.handle.net/11703/96488 | http://hdl.handle.net/11703/96487 | http://hdl.handle.net/11703/96486 | http://hdl.handle.net/11703/96485","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/89255","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Forns industrials | Refrigeració i màquines frigorífiques | Furnaces | Refrigeration and refrigerating machinery | Hornos | Máquina frigoríficas","Legislació i justícia | Indústria","ordenances municipals | documents digitalitzats","Ordenanza sobre hornos, fraguas, cubilotes, cámaras frigoríficas y tanques de congelación [1966]","Ordenança sobre forns, fornals, cambres frigorífiques i tancs de congelació [1966]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1996-09-25","1996-11-09","2007-12-31","1996-11-10","Aprovada pel Plenari del Consell Municipal de 25-09-1996","","Modifica l'Ordenança de mercats [1968] [http://hdl.handle.net/11703/96461]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 270 (09-11-1996), p. 27","","","http://hdl.handle.net/11703/99008","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/96461","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Mercats | Markets | Mercados","Legislació i justícia | Comerç","ordenances municipals | documents digitalitzats","Ordenanzas municipales sobre mercados [1968] : modificació [1996-09-25]","Ordenanza de mercados [1968] : modificació [1996-09-25] | Ordenança de mercats [1968] : modificació [1996-09-25]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
