"dcAccrualPeriodicity","dcAccrualPolicy","dccontributor","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 46"
"","","","Districte 1. Ciutat Vella","","Raval (Barcelona : Barri) | Raval (Barcelona : Barrio) | Raval (Barcelona : Neighborhood) | Barcelona. Districte 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella","2018","","2019-02-18","2019-02","Comissió de seguiment de la problemàtica de les drogues al Raval 18/02/2019","","","application/pdf","30 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/114062","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajutament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drogues | Seguretat ciutadana | Salut | Drogoaddicció | Espais públics | Delictes contra la propietat | Delinqüència | Drugs of abuse | Public security | Health | Drug addiction | Public spaces | Crimes against property | Crime | Drogas | Seguridad ciudadana | Salud | Drogadicción | Espacios públicos | Delitos contra la propiedad | Delincuencia","Societat i benestar","informes d'avaluació i de seguiment","Pla de Xoc per Abordar la Venda i el Consum de Drogues al Raval 2017-2020","Situació actual de la problemàtica de les drogues al Raval i les intervencions realitzades : febrer 2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Obert","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Institut Barcelona Esports | Associació Esportiva Sarrià-Sant Gervasi (Barcelona) | Carrasco, Mireia G. | Díez, Elia","","Barcelona | Barcelona | Barcelona","2014 | 2015","","2016","2016","","","","application/pdf","41 p.","application/pdf","","","","","","http://hdl.handle.net/11703/110905","cat","Agència de Salut Pública de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.en | http://creativecommons.org/licenses/by/4.0/deed.es","Parcs | Esports | Parks | Sports | Parques | Deportes","Salut","informes d'avaluació i de seguiment | revistes i anuaris","Programa Activa't als Parcs 2008- (Barcelona)","Activa't als Parcs de Barcelona : Avaluació. 2014-2015","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Gerència de Drets Socials | Departament de Planificació i Processos","","Barcelona | Barcelona | Barcelona","2013 | 2014 | 2015 | 2016","","2017-04","2017-04","","","","application/pdf","123 p.","application/pdf","","","","","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/113883","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política social | Persones grans | Social policy | Older people | Política social | Ancianos","Societat i benestar","informes d'avaluació i de seguiment","Pla Municipal per a les Persones Grans 2013-2016 (Barcelona)","Seguiment i avaluació del Pla Municipal per a les Persones Grans 2013-2016 : informe de seguiment 2016 i balanç 2013-2016","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Àrea de Drets de Ciutadania, Participació i Transparència | Oficina per la No Discriminació | Direcció de Serveis de Drets de Ciutadania i Diversitat | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2017-10","2017-10","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/106466 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/114541 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/114542","","","application/pdf","21 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/114516","cat","","http://hdl.handle.net/11703/106466 | http://hdl.handle.net/11703/114541 | http://hdl.handle.net/11703/114542","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","1 d'octubre, Referèndum de l', Catalunya, 2017 | Víctimes | Policia | Agressivitat | 1 d'octubre, Referèndum de l', Catalunya, 2017 | Victims | Police | Aggressiveness | 1 d'octubre, Referèndum de l', Catalunya, 2017 | Víctimas | Policía | Agresividad","Sector públic","informes d'avaluació i de seguiment | informes altres","Programa Barcelona Ciutat de Drets 2016-2019","Servei d'atenció a víctimes d'agressions policials de l'1 d'octubre : informe final","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","","No","2013","2013","","","","application/pdf","","application/pdf","11610","","","entitats públiques empresarials","Mandat 2011-2015","http://hdl.handle.net/11703/88057","cat | spa | eng","Institut de Cultura de Barcelona","","","","","","http://hdl.handle.net/11703/97444","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona | Cultura | Institut de Cultura de Barcelona | Culture | Institut de Cultura de Barcelona | Cultura","Cultura i oci","memòries | informes d'avaluació i de seguiment","","Barcelona Cultura: balanç 2012 [versió en català, castellà i anglès]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Consorci d'Educació de Barcelona","","Barcelona | Barcelona | Barcelona","","","2017","2017","","","","application/pdf","11 p.","application/pdf","","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/114219","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació secundària obligatòria | Educació inclusiva | Política educativa | Mandatory Secondary education | Inclusive education | Educational policy | Educación Secundaria Obligatoria | Educación inclusiva | Política educativa","Educació","informes d'avaluació i de seguiment","Programa Enginy 2017- (Barcelona)","Programa Enginy (anterior programa Èxit 2) Curs 2017/2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Gerència de Drets Socials | Departament de Planificació i Processos","","Barcelona | Barcelona | Barcelona","2015","","2015-04","2015-04","","","","application/pdf","62 p.","application/pdf","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/113884","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infants | Adolescents | Política social | Children | Teenagers | Social policy | Niños | Adolescentes | Política social","Societat i benestar","informes d'avaluació i de seguiment","Pla Municipal per a la infància 2013-2016 (Barcelona)","Seguiment i avaluació del Pla Municipal per a la infància 2013-2016 : informe de seguiment 2015","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Direcció de Gestió Econòmica | Direcció de Serveis d'Inversions","","Barcelona | Barcelona | Barcelona","2008 | 2009 | 2010 | 2011","","2011-03-25","2011","Informe presentat al Plenari del Consell Municipal de 25-03-2011 | Citat a la Gaseta Municipal de Barcelona, núm. 19 (30-06-2011)","","","application/pdf","42 p.","application/pdf","7284","","","","Mandat 2007-2011","http://hdl.handle.net/11703/88762","cat","","http://hdl.handle.net/11703/86833 | http://hdl.handle.net/11703/86825","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica | Política fiscal | Inversions | Economic policy | Fiscal policy | Investments | Política económica | Política fiscal | Inversiones","Sector públic | Economia","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Inversions Municipals 2008-2011 (Barcelona)","Informe de mandat 2008-2011","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","2017","","2018-07-04","2018-07","Informe presentat al Consell Plenari del Districte de Nou Barris de 04-07-2018","","","application/pdf","73 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/117965","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica | Economic policy | Política económica | Parcs infantils | Play environments | Parques infantiles | Jocs a l'aire lliure | Outdoor games | Juegos al aire libre","Sector públic | Economia | Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla de Desenvolupament Econòmic de Nou Barris 2016-2021 (Barcelona) | Projecte B-Mincome 2017-2019 (Barcelona)","Informe regidora : Consell Plenari del Districte de Nou Barris [versió presentació]","","text","info:eu-repo/semantics/report",""
"","","","Comissionat/da de Tecnologia i Innovació Digital","","Barcelona | Barcelona | Barcelona","","","2019","2019","Podeu consultar la versió en català a: http://hdl.handle.net/11703/115012 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/115018","","","application/pdf","61 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115013","cat","","http://hdl.handle.net/11703/115012 | http://hdl.handle.net/11703/115018","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Política tecnològica | Política tecnológica | Technology policy | Ciutats digitals (Xarxes d'ordinadors) | Ciudades digitales | Smart cities | Desenvolupament urbà | Desarrollo urbano | Urban development | Innovacions tecnològiques | Innovaciones tecnológicas | Technological innovations | Transformació digital | Transformación Digital | Digital transformation","Ciència i tecnologia","informes d'avaluació i de seguiment","Pla Barcelona Ciutat Digital 2017-2020","Barcelona ciudad digital : la tecnología al servicio de la ciudadanía (2015-2019)","Balance del Plan Barcelona Ciudad Digital (2015-2019)","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Desconeguda","Oberta","","Observatori de l'Energia de Barcelona","","Barcelona | Barcelona | Barcelona","1999 | 2003","No","2005","2005-11","","","","application/pdf","","application/pdf","4195","","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/87805","cat","Agència d'Energia de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Observatori de l'Energia de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Observatori de l'Energia de Barcelona | Estalvi d'energia | Observatori de l'Energia de Barcelona | Energy conservation | Observatori de l'Energia de Barcelona | Ahorro de energía","Medi ambient","memòries | informes d'avaluació i de seguiment","","Balanç 1999-2003","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Institut Municipal d'Educació (Barcelona)","","","","","2009","2009","","","","application/pdf","28 p.","application/pdf","3005","","","organismes autònoms","Mandat 1999-2003 | Mandat 2003-2007 | Mandat 2007-2011","http://hdl.handle.net/11703/88828","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació | Education | Educación","Educació","informes d'avaluació i de seguiment","Projecte Educatiu de Ciutat (Barcelona) | Projecte Educatiu de Ciutat. Pla d'Acció 2004-2007 (Barcelona)","Barcelona ciutat educadora : deu anys del Projecte Educatiu de Ciutat de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Àrea de Drets Socials | Gerència d'Habitatge","","Barcelona | Barcelona | Barcelona","2018","","2019","2019","Podeu consultar la versió en català a: http://hdl.handle.net/11703/115140 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/115145","","","application/pdf","108 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115161","eng","","http://hdl.handle.net/11703/115140 | http://hdl.handle.net/11703/115145","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Política de l'habitatge | Política de vivienda | Housing policy | Política social | Política social | Social policy","Habitatge","informes d'avaluació i de seguiment","Pla pel Dret a l'Habitatge de Barcelona 2016-2025","Barcelona Right to Housing Plan 2016-2025 : Report 2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","2017","","2017-05-11","2017-05","Informe presentat al Consell Plenari del Districte de Nou Barris de 11-05-2017","","","application/pdf","56 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/117964","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Subvencions | Subsidies | Subvenciones públicas | Policia de proximitat | Community policing | Policía de proximidad | Obres públiques | Public works | Obras públicas","Sector públic | Societat i benestar | Seguretat | Urbanisme i infraestructures","informes als òrgans de govern | informes d'avaluació i de seguiment","","Informe regidora Plenari 11-05-2017 [versió presentació]","","text","info:eu-repo/semantics/report",""
"","","","Gerència de Drets Socials | Departament de Salut | Cañis Pedreny, Alberto","","Barcelona | Barcelona | Barcelona","","","2018-07","2018-09-30","Sol·licitant de l'informe: Gerència de Drets Socials","","Primer document - Memoria funcional | Segon document- Aproximació als costos, Criteris de Qualitat, Calendari i fases de posada en marxa, Avaluació de possibles escenaris d’ampliació del servei","application/pdf","2 documents","application/pdf","","20180297","","","Mandat 2015-2019","http://hdl.handle.net/11703/112731","cat","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Odontologia | Persones desfavorides | Assistència mèdica | Serveis municipals | Barcelona Serveis de Salut | Dentistry | People with social disabilities | Medical care | Municipal services | Barcelona Serveis de Salut | Odontología | Marginados sociales | Asistencia sanitaria | Servicios municipales | Barcelona Serveis de Salut","Salut","informes d'avaluació i de seguiment | informes altres","","Servei Municipal d’Odontologia per a persones en situació de vulnerabilitat : memòria de creació i altres documents","Memòria funcional de creació (avaluació ex-ante). Servei Municipal d’Odontologia per a persones en situació de vulnerabilitat | Elaboració documents de serveis odontologia social","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
