"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 45"
"Fundació Fòrum Ambiental","","","Si","1997","1997","","","Aprovat pel Patronat de la Fundació de 1997","","","","","application/pdf","11 p.","application/pdf","17442","","","fundacions","http://hdl.handle.net/11703/88647","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Fòrum Ambiental","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Fòrum Ambiental | Fundació Fòrum Ambiental | Fundació Fòrum Ambiental","Sector públic","estatuts","","Estatuts de la Fundació Fòrum Ambiental [1997 text no oficial]","","text","info:eu-repo/semantics/other",""
"Barcelona Aeronàutica i de l'Espai","","","Si","2009-10-08","2009","","","Aprovats per l'Assamblea General de 08-10-2009","","","","","application/pdf","7 p.","application/pdf","","","","associacions","http://hdl.handle.net/11703/106393","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Barcelona Aeronàutica i de l'Espai","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Aeronàutica i de l'Espai | Barcelona Aeronàutica i de l'Espai | Barcelona Aeronàutica i de l'Espai","Sector públic","estatuts | documents digitalitzats","","Estatuts de Barcelona Aeronàutica i de l'Espai [2009 text refós no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci del Pla de Rehabilitació i Equipament de Teatres de Barcelona","","","No","2005","2005","","","Podeu consultar la versió publicada al Diari Oficial de la Generalitat de Catalunya a: http://hdl.handle.net/11703/88573","","","","","application/pdf","6 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106529","cat","","http://hdl.handle.net/11703/88573","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci del Pla de Rehabilitació i Equipament de Teatres de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Pla de Rehabilitació i Equipament de Teatres de Barcelona | Consorci del Pla de Rehabilitació i Equipament de Teatres de Barcelona | Consorci del Pla de Rehabilitació i Equipament de Teatres de Barcelona","Sector públic","estatuts | documents digitalitzats","","Estatuts del Consorci del Pla de Rehabilitació i Equipament de Teatres de Barcelona [2005 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Navegació Oceànica Barcelona","","","Si","2015-04-01","2015-06-05","","","Text refós modificat i aprovat definitivament pel Plenari del Consell Municipal de 01-04-2015 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106218","","","","","application/pdf","11 p.","application/pdf","18857","","Butlletí Oficial de la Província de Barcelona (27-05-2015) | Publicat també al Diari Oficial de la Generalitat de Catalunya, núm. 6886 (05-06-2015)","fundacions","http://hdl.handle.net/11703/86747","cat","","http://hdl.handle.net/11703/106218","","","","","","","http://hdl.handle.net/11703/88616","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Fundació Navegació Oceànica Barcelona | Fundació Navegació Oceànica Barcelona | Fundació Navegació Oceànica Barcelona","Sector públic","estatuts","","Estatuts de la Fundació Navegació Oceànica Barcelona [2015 text refós]","","text","info:eu-repo/semantics/other",""
"Cementiris de Barcelona, S.A.","","","Si","2007-02-05","2007-03-02","","2007-03-03","Aprovats pel Consell d'Administració de Cementiris de Barcelona, el 05-02-2007 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/99608","Modificats pel plenari del Consell  Municipal de 05-03-2019 [http://hdl.handle.net/11703/114189]","","","","application/pdf","6 p.","application/pdf","5811","","Butlletí Oficial de la Província de Barcelona , núm. 53 (02-03-2007), p. 123-128","societats mercantils","http://hdl.handle.net/11703/85171","cat","","http://hdl.handle.net/11703/99608","","","","","","","","http://hdl.handle.net/11703/114189","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cementiris de Barcelona, S.A. | Cementiris de Barcelona, S.A. | Cementiris de Barcelona, S.A.","Sector públic","estatuts","","Estatuts Socials de Cementiris de Barcelona, S.A [2007]","","text","info:eu-repo/semantics/other",""
"Centre de Cultura Contemporània de Barcelona","","","Si","2015-12-29","2016-01-14","","","Aprovats pel Plenari del Consell Municipal de 29-12-2015 | Aprovats per la Diputació de Barcelona de 14-05-2015 | Aprovats pel Consell General del Consorci de 22-04-2015 | Podeu consultar-ne una altra versió a:  http://hdl.handle.net/11703/106208","","Substitueix els Estatuts del Consorci del Centre de Cultura Contemporània de Barcelona, Casa de Caritat [2003 text refós] [http://hdl.handle.net/11703/89183]","","","application/pdf","9 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (14-01-2016)","consorcis","http://hdl.handle.net/11703/99803","cat","","http://hdl.handle.net/11703/106208","","","","","","","http://hdl.handle.net/11703/89183","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Centre de Cultura Contemporània de Barcelona | Centre de Cultura Contemporània de Barcelona | Centre de Cultura Contemporània de Barcelona","Sector públic","estatuts","","Estatuts del Consorci del Centre de Cultura Contemporània de Barcelona, Casa de Caritat [2015 text refós]","","text","info:eu-repo/semantics/other",""
"Serveis Funeraris de Barcelona, S.A.","","","","2007-10-01","2007","","","Aprovada per la Junta General de 01-10-2007 | Acta notarial, 1 d'octubre de 2007, dóna fe el notari Don Miquel Tarragona Coromina","","Modifica els Estatuts de Serveis Funeraris de Barcelona [1997 text no oficial] [http://hdl.handle.net/11703/106556]","","","application/pdf","1 p.","application/pdf","","","","societats mercantils | societats mercantils","http://hdl.handle.net/11703/106558","cat","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/106556","","","CC-BY","info:eu-repo/semantics/openAccess","","Serveis Funeraris de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A.","Sector públic","estatuts | documents digitalitzats","","Estatuts de Serveis Funeraris de Barcelona [1997 text no oficial] : modificació [2007-10-01 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Parc de Salut Mar de Barcelona","","","No","2009-10-30","2010-02-09","","","Aprovats pel Plenari del Consell Municipal de 30-10-2009","Substituït pels Estatuts de l'any 2011. Podeu consultar el text no oficial a: http://hdl.handle.net/11703/106125 | Derogats pels Estatuts del Consorci Marc Parc de Salut de Barcelona [2019 text refós] [http://hdl.handle.net/11703/113846]","","","","application/pdf","7 p.","application/pdf","5618 | 17360","","Butlletí Oficial de la Província de Barcelona, núm. 34 (09-02-2010) | Publicat també al Diari Oficial de la Generalitat de Catalunya, núm. 5555 (28-01-2010)","consorcis","http://hdl.handle.net/11703/89187","cat","","","","","","","http://hdl.handle.net/11703/106125 | http://hdl.handle.net/11703/113846","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci Parc de Salut Mar de Barcelona | Consorci Parc de Salut Mar de Barcelona | Consorci Parc de Salut Mar de Barcelona","Sector públic","estatuts","","Estatuts del Consorci Marc Parc de Salut de Barcelona [2009]","","text","info:eu-repo/semantics/other",""
"Centre de Cultura Contemporània de Barcelona","","","No","1995-10","1995","","","","Substituït pels Estatuts del Consorci del Centre de Cultura Contemporània de Barcelona Casa de Caritat [2003 text refós no oficial] [http://hdl.handle.net/11703/106207]","","","","application/pdf","19 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106206","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106207","","","","CC-BY","info:eu-repo/semantics/openAccess","","Centre de Cultura Contemporània de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Cultura Contemporània de Barcelona | Centre de Cultura Contemporània de Barcelona | Centre de Cultura Contemporània de Barcelona","Sector públic | Cultura i oci","estatuts | documents digitalitzats","","Estatuts del Consorci del Centre de Cultura Contemporània de Barcelona Casa de Caritat [1995 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Mediacomplex, S.A.","","","Si","2004","2004","","","","","","","","application/pdf","7 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/106549","cat","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l’àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Registre Mercantil de Barcelona","","Mediacomplex, S.A. | Mediacomplex, S.A. | Mediacomplex, S.A.","Sector públic","estatuts","","Estatuts de Mediacomplex, S.A. [2004 text no oficial]","","text","info:eu-repo/semantics/other",""
"Fundació Institut Guttmann","","","Si","2014-11-21","2014","","","Acta notarial, 21 de novembre de 2014, dóna fe el notari Don Carlos Masià Martí","","","","","application/pdf","14 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106316","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Institut Guttmann","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Institut Guttmann | Fundació Institut Guttmann | Fundació Institut Guttmann","Sector públic | Salut","estatuts | documents digitalitzats","","Estatuts de la Fundació Institut Guttmann [2014 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundación Privada Instituto de Salud Global Barcelona","","","Si","2015-03-27","2015-04-27","","","Aprovat pel Plenari del Consell Municipal de 27-03-2015","","","","","application/pdf","14 p.","application/pdf","18617","","Butlletí Oficial de la Província de Barcelona (27-04-2015)","fundacions","http://hdl.handle.net/11703/88636","cat","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Fundación Privada Instituto de Salud Global Barcelona | Fundación Privada Instituto de Salud Global Barcelona | Fundación Privada Instituto de Salud Global Barcelona","Sector públic","estatuts","","Estatuts de la Fundación Privada Instituto de Salud Global Barcelona (ISGlobal) [2015]","","text","info:eu-repo/semantics/other",""
"Fundació Maria Aurèlia Capmany","","","No","1994-07-13","1994","","","Aprovats pel Patronat de la Fundació de 13-07-1994 | Acta notarial, 13 de juliol de 1994, dóna fe el notari Don Modesto Ventura Benages | Aprovació definitiva pel Plenari del Consell Municipal de 18-10-2013 de la renúncia al càrrec de patró que ostenta l’Ajuntament de Barcelona a la Fundació","","","Digitalitzat pel SEDAC","","application/pdf","13 p.","application/pdf","11734 | 11735","","","fundacions","http://hdl.handle.net/11703/86744","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Maria Aurèlia Capmany","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Maria Aurèlia Capmany | Fundació Maria Aurèlia Capmany | Fundació Maria Aurèlia Capmany","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Maria Aurèlia Capmany [1994 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Localret","","","Si","2015-03-27","2015-04-28","","","Aprovat pel Plenari del Consell Municipal de 27-03-2015 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106114","","Substitueixen els Estatuts del Consorci Localret [2014 text refós ] [http://hdl.handle.net/11703/86740]","","","application/pdf","2 documents","application/pdf","18626","","Butlletí Oficial de la Província de Barcelona (28-04-2015)","consorcis","http://hdl.handle.net/11703/88582","cat","","http://hdl.handle.net/11703/106114","","","","","","","http://hdl.handle.net/11703/86740","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci Localret | Consorci Localret | Consorci Localret","Sector públic","estatuts | acords","","Estatuts del Consorci Localret [2015 text refós]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Privada Call de Barcelona","","","Si","2006-12-22","2007-03-08","","","Aprovats pel Plenari del Consell Municipal de 22-12-2006 | Podeu consultar-ne una altra versió a:  http://hdl.handle.net/11703/106338","","","","","application/pdf","5 p.","application/pdf","17416","","Butlletí Oficial de la Província de Barcelona, núm. 58 (08-03-2007)","fundacions","http://hdl.handle.net/11703/88628","cat","","http://hdl.handle.net/11703/106338","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Fundació Privada Call de Barcelona | Fundació Privada Call de Barcelona | Fundació Privada Call de Barcelona","Sector públic","estatuts","","Estatuts de la Fundació Privada Call de Barcelona [2006]","","text","info:eu-repo/semantics/other",""
