"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisformatof","dcrelationispartof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 45"
"Anual","Tancada","Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia","2005","No","2006","2006","","","","","application/pdf","","mem_gr_2005","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/89559","cat","Districte 6. Gràcia","","","","","","","","","","","","","CC-BY","openAccess","Districte 6. Gràcia","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 6. Gràcia","Sector públic","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Autoritat del Transport Metropolità","","Barcelona","2013","No","2014","2014","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/88106","","","application/pdf","","18535","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/88117","eng","Autoritat del Transport Metropolità","http://hdl.handle.net/11703/88106","","","","","","","","","","","","CC-BY","openAccess","Autoritat del Transport Metropolità","http://creativecommons.org/licenses/by/4.0/deed.ca","Autoritat del Transport Metropolità. . Mobilitat urbana","Transport","memòries","","Annual report 2013","","text",""
"Anual","","Consorci de les Drassanes Reials i Museu Marítim de Barcelona","","Barcelona","2010","No","2011","2011","","","","","application/pdf","41 p.","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/106783","cat","","","","","","Reproducció digital del document en suport original","","","","","","","","CC-BY","openAccess","Consorci de les Drassanes Reials i Museu Marítim de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de les Drassanes Reials i Museu Marítim de Barcelona. Museus. Activitats culturals","Cultura i oci","memòries. documents digitalitzats","","Memòria d'activitats Museu Marítim de Barcelona 2010","Memòria de l'exercici 2010","text",""
"Anual","Oberta","Autoritat del Transport Metropolità","","Barcelona","2004","No","2005","2005","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/88097","","","application/pdf","","18544","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/88108","eng","Autoritat del Transport Metropolità","http://hdl.handle.net/11703/88097","","","","","","","","","","","","CC-BY","openAccess","Autoritat del Transport Metropolità","http://creativecommons.org/licenses/by/4.0/deed.ca","Autoritat del Transport Metropolità. . Mobilitat urbana","Transport","memòries","","Activity report 2004","","text",""
"Anual","Oberta","Centre de Cultura Contemporània de Barcelona","","Barcelona","2002. 2003","No","2004","2004","","","","","application/pdf","","3305","","","Mandat 1999-2003","http://hdl.handle.net/11703/87744","cat","Centre de Cultura Contemporània de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Centre de Cultura Contemporània de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Cultura Contemporània de Barcelona. Cultura","Cultura i oci","memòries","","Memòria 2002-2003","","text",""
"Anual","Oberta","Centre de Recursos Barcelona Sostenible. Societat Catalana d'Educació Ambiental","","Barcelona","2006","No","2007","2007/1/3","","","","","application/pdf","","9017","","","Mandat 2003-2007","http://hdl.handle.net/11703/87823","cat","Centre de Recursos Barcelona Sostenible","","","","","","","","","","","","","CC-BY","openAccess","Centre de Recursos Barcelona Sostenible","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Recursos Barcelona Sostenible. Educació ambiental","Medi ambient","memòries","","Memòria 2006","","text",""
"Anual","Oberta","Barcelona Sagrera Alta Velocitat, S.A.","","Barcelona","2011","No","2012","2012","","","","","application/pdf","","13298","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/87960","cat. cas","Barcelona Sagrera Alta Velocitat","","","","","","","","","","","","","CC-BY","openAccess","Barcelona Sagrera Alta Velocitat, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Sagrera Alta Velocitat, S.A.. Trens d'alta velocitat. Ferrocarrils","Urbanisme i infraestructures. Transport","memòries","","Memòria = Memoria 2011","","text",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona","2011","No","2012","2012","","","","","application/pdf","","11451","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/87599","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","","Memòria d’activitats 2011","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2010","No","2011-07-25","2011","","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/87408","","","application/pdf","356 p.","8097","","","Mandat 2007-2011","http://hdl.handle.net/11703/87403","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87408","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona. Serveis municipals. Empreses públiques. Informació i Comunicació de Barcelona, S.A.. Barcelona Activa, S.A.. Pro Nou Barris, S.A.. 22@bcn, S.A.. Barcelona Gestió Urbanística, S.A.. Tractament i Selecció de Residus, S.A. (TERSA). Foment de Ciutat Vella, S.A.. Serveis Funeraris de Barcelona, S.A.. ProEixample, S.A.. Mercabarna, S.A.. Patronat Municipal de l'Habitatge de Barcelona. Fundació Mies van der Rohe. Institut Municipal d'Informàtica (Barcelona). Institut Municipal d'Urbanisme (Barcelona). Institut Municipal d'Hisenda (Barcelona). Parcs i Jardins de Barcelona, Institut Municipal. Institut Municipal de Mercats (Barcelona). Institut Municipal d'Educació (Barcelona). Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona). Barcelona de Serveis Municipals, S.A. (BSM). Barcelona d'Infraestructures Municipals, S.A.. Parc d'Atraccions del Tibidabo, S.A.. Agència de Promoció del Carmel i Entorns (Barcelona). Cementiris de Barcelona, S.A.. Consorci del Campus Interuniversitari Diagonal-Besòs. Agència d'Ecologia Urbana de Barcelona. Agència Local d'Energia de Barcelona. Consorci del Besòs (Barcelona). Consorci de Biblioteques de Barcelona. Consorci el Far (Barcelona). Consorci Mercat de les Flors. Consorci Institut d'Infància i Món Urbà (Barcelona). Fundació Barcelona Cultura. Fundació Navegació Oceànica Barcelona. Associació Internacional de Ciutats Educadores (Barcelona). Institut Municipal de Serveis Socials (Barcelona). Consorci Localret. Institut Barcelona Esports. Institut de Cultura de Barcelona","Sector públic","memòries","","Informe anual de les empreses i institucions municipals 2010","","text",""
"Anual","Oberta","Sector de Serveis Urbans i Medi Ambient","","Barcelona","2007","No","2008","2008","","","","","application/pdf","","3365","","","Mandat 2003-2007","http://hdl.handle.net/11703/87767","cat","Sector de Serveis i Urbans i Medi Ambient","","","","","","","","","","","","","CC-BY","openAccess","Sector de Serveis i Urbans i Medi Ambient","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector de Serveis Urbans i Medi Ambient","Medi ambient","memòries","","Memòria 2007","","text",""
"Anual","Oberta","Servei de Prevenció, Extinció d'Incendis i Salvament","","Barcelona","2006","No","2007","2007","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89531. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/89533","","","application/pdf","","1046","","","Mandat 2003-2007","http://hdl.handle.net/11703/89507","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/89531. http://hdl.handle.net/11703/89533","","","","","","","","","","","","CC-BY","openAccess","Servei de Prevenció, Extinció d'Incendis i Salvament","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei de Prevenció, Extinció d'Incendis i Salvament. Bombers","Seguretat","memòries","","Memoria 2006","","text",""
"Anual","Oberta","Centre de Cultura Contemporània de Barcelona","","Barcelona","2010","No","2011","2011","","","","","application/pdf","","8940","","","Mandat 2007-2011","http://hdl.handle.net/11703/87749","cat","Centre de Cultura Contemporània de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Centre de Cultura Contemporània de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Cultura Contemporània de Barcelona. Cultura","Cultura i oci","memòries","","Memòria 2010","","text",""
"Anual","Oberta","Barcelona Sagrera Alta Velocitat, S.A.","","Barcelona","2012","No","2013","2013","","","","","application/pdf","","13299","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/87961","cat. cas","Barcelona Sagrera Alta Velocitat","","","","","","","","","","","","","CC-BY","openAccess","Barcelona Sagrera Alta Velocitat, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Sagrera Alta Velocitat, S.A.. Trens d'alta velocitat. Ferrocarrils","Urbanisme i infraestructures. Transport","memòries","","Memòria = Memoria 2012","","text",""
"Anual","Tancada","Biblioteca d'Urbanisme (Barcelona)","","Barcelona","2007","No","2008-07-07","2008","","","","","application/pdf","7 p.","5416","","","Mandat 2007-2011","http://hdl.handle.net/11703/87461","cat","Biblioteca d'Urbanisme","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Biblioteca d'Urbanisme (Barcelona)","Urbanisme i infraestructures","memòries","","Memòria 2007","","text",""
"Anual","Oberta","Àrea de Prevenció, Seguretat i Mobilitat","","Barcelona","2009","No","2010","2010","","","","","application/pdf","","8942","","","Mandat 2007-2011","http://hdl.handle.net/11703/87771","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Àrea de Prevenció, Seguretat i Mobilitat","http://creativecommons.org/licenses/by/4.0/deed.ca","Àrea de Prevenció, Seguretat i Mobilitat. Mobilitat urbana. Seguretat ciutadana","Transport. Seguretat","memòries","","Informe d'activitats 2009","","text",""
"Anual","Oberta","Consorci de la Zona Franca de Barcelona","","Barcelona","2013","No","2014","2014","","Podeu consultar la versión en català/castellà a: http://hdl.handle.net/11703/87669","","","application/pdf","","18567","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/87673","eng. fre","Consorci de la Zona Franca de Barcelona","http://hdl.handle.net/11703/87669","","","","","","","","","","","","CC-BY","openAccess","Consorci de la Zona Franca de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de la Zona Franca de Barcelona. Logística (Indústria)","Indústria","memòries","","Annual report = Mémoire annuel 2013","","text",""
"Anual","","Consorci del Museu d'Art Contemporani de Barcelona","","Barcelona","2014","No","2016-02","2017-01","","Substituït per la memòria de 2015 [http://hdl.handle.net/11703/100023]","","","application/pdf","180 p.","","","consorcis","Mandat 2015-","http://hdl.handle.net/11703/100022","cat","","","","","","","","http://hdl.handle.net/11703/100023","","","","","","CC-BY","openAccess","Consorci del Museu d'Art Contemporani de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Museu d'Art Contemporani de Barcelona","Cultura i oci","memòries","","Memòria 2014","","text",""
"Anual","Obert","Barcelona de Serveis Municipals, S.A. (BSM)","","Barcelona","2010","No","2011","2011","","","","","application/pdf","35 p.","","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/106476","cat","","","","","","","","","","","","","","CC-BY","openAccess","Barcelona de Serveis Municipals, S.A. (BSM)","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona de Serveis Municipals, S.A. (BSM). Finances. Esports. Mobilitat. Lleure","Economia. Transport","memòries","","Memòria 2010","","text",""
"Anual","Tancada","Institut Municipal d'Assistència Sanitària (Barcelona)","","Barcelona","2006","No","2007","2007","","","","","application/pdf","","2665","","organismes autònoms","Mandat 2003-2007","http://hdl.handle.net/11703/88024","cat","Institut Municipal d'Assistència Sanitària (Barcelona)","","","","","","","","http://hdl.handle.net/11703/88002","","","","","CC-BY","openAccess","Institut Municipal d'Assistència Sanitària (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona). Salut pública","Salut","memòries","","L'IMAS en dades 2006","","text",""
"Anual","Oberta","Servei de Prevenció, Extinció d'Incendis i Salvament","","Barcelona","2011","No","2012","2012","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87776","","","application/pdf","","18054","","","Mandat 2007-2011","http://hdl.handle.net/11703/87831","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87776","","","","","","","","","","","","CC-BY","openAccess","Servei de Prevenció, Extinció d'Incendis i Salvament","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei de Prevenció, Extinció d'Incendis i Salvament. Bombers","Seguretat","memòries","","Informe d’activitat 2011","","text",""
"Anual","Oberta","Consell Tributari Municipal (Barcelona)","","Barcelona","2011","No","2012","2012","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87539","","","application/pdf","","10480","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/87540","cas","Consell Tributari Municipal (Barcelona)","http://hdl.handle.net/11703/87539","","","","","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Tributari Municipal (Barcelona). Finances municipals. Impostos locals","Economia. Hisenda","memòries","","Memoria 2011","","text",""
"Anual","Oberta","Consorci Parc de Salut Mar de Barcelona","","Barcelona","2013","No","2014","2014","","","","","application/pdf","","18515","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/88008","cat","Consorci Parc de Salut del Mar de Barcelona. Hospitals","","","","","","","","","","","","","CC-BY","openAccess","Consorci Parc de Salut del Mar de Barcelona. Hospitals","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Parc de Salut Mar de Barcelona. Salut pública. Hospitals","Salut","memòries","","Memòria 2013","","text",""
"Anual","Oberta","Tractament i Selecció de Residus, S.A. (TERSA)","","Barcelona","2011","No","2012","2012","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87891","","","application/pdf","","10714","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/87874","cat","Tractament i Selecció de Residus (Barcelona)","http://hdl.handle.net/11703/87891","","","","","","","","","","","http://hdl.handle.net/11703/87873. http://hdl.handle.net/11703/87872","CC-BY","openAccess","Tractament i Selecció de Residus, S.A. (TERSA)","http://creativecommons.org/licenses/by/4.0/deed.ca","Tractament i Selecció de Residus, S.A. (TERSA). Reciclatge (Residus, etc.)","Medi ambient","memòries","","Memòria 2011","","text",""
