"Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud","Web","Notes_Equipament"
"Biblioteca Fort Pienc",2,"Eixample",5.0,"el Fort Pienc","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.395555185,2.182447586,"http://www.bcn.cat/bibfortpienc",""
"Biblioteca Francesc Candel",3,"Sants-Montjuïc",13.0,"la Marina de Port","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.361777511999996,2.136276613,"http://www.bcn.cat/bibfrancesccandel",""
"Biblioteca Francesca Bonnemaison",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.386936575,2.175789976,"http://www.bcn.cat/bibfbonnemaison",""
"Biblioteca Gòtic - Andreu Nin",1,"Ciutat Vella",2.0,"el Barri Gòtic","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.378730324,2.175978504,"http://www.bcn.cat/bibgotic",""
"Biblioteca Guinardó - Mercè Rodoreda",7,"Horta-Guinardó",33.0,"el Baix Guinardó","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.414313258,2.165318095,"http://www.bcn.cat/bibmercerodoreda",""
"Biblioteca Horta - Can Mariner",7,"Horta-Guinardó",43.0,"Horta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.431105502,2.16073359,"http://www.bcn.cat/bibcanmariner",""
"Biblioteca Ignasi Iglésias - Can Fabra",9,"Sant Andreu",60.0,"Sant Andreu","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.43448145,2.190871493,"http://www.bcn.cat/bibcanfabra",""
"Biblioteca Jaume Fuster",6,"Gràcia",28.0,"Vallcarca i els Penitents","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.407459888000005,2.149757498,"http://www.bcn.cat/bibjaumefuster",""
"Biblioteca Joan Miró",2,"Eixample",9.0,"la Nova Esquerra de l'Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.378816801,2.149230361,"http://www.bcn.cat/bibjoanmiro",""
"Biblioteca La Sagrera - Marina Clotet",9,"Sant Andreu",61.0,"la Sagrera","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.425875519,2.1937642630000003,"http://www.bcn.cat/biblasagrera",""
"Biblioteca Les Corts - Miquel Llongueras",4,"Les Corts",20.0,"la Maternitat i Sant Ramon","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.37777796,2.121760828,"http://www.bcn.cat/bibmllongueras",""
"Biblioteca Les Roquetes",8,"Nou Barris",50.0,"les Roquetes","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.445371791999996,2.177103706,"http://www.bcn.cat/biblesroquetes",""
"Biblioteca Montbau - Albert Pérez Baró",7,"Horta-Guinardó",40.0,"Montbau","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.429553532,2.142195427,"http://www.bcn.cat/bibmontbau",""
"Biblioteca Montserrat Abelló i Soler",4,"Les Corts",19.0,"les Corts","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.383722,2.1352722,"http://ajuntament.barcelona.cat/biblioteques/bibmontserratabello/ca",""
"Biblioteca Nou Barris",8,"Nou Barris",48.0,"la Guineueta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.436813681,2.171212448,"http://www.bcn.cat/bibnoubarris",""
"Biblioteca Poble Sec - Francesc Boix",3,"Sants-Montjuïc",11.0,"el Poble-sec","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.373921824,2.164025015,"http://www.bcn.cat/bibfrancescboix",""
"Biblioteca Poblenou - Manuel Arranz",10,"Sant Martí",68.0,"el Poblenou","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.401373426,2.204525705,"http://www.bcn.cat/bibpoblenou",""
"Biblioteca Ramon d'Alòs-Moner",10,"Sant Martí",70.0,"el Besòs i el Maresme","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.416309274,2.21148328,"http://www.bcn.cat/bibramondalos",""
"Biblioteca Sagrada Família",2,"Eixample",6.0,"la Sagrada Família","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.4055771,2.176118,"http://www.bcn.cat/bibsagradafamilia",""
"Biblioteca Sant Antoni - Joan Oliver",2,"Eixample",10.0,"Sant Antoni","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.377384776,2.162778079,"http://www.bcn.cat/bibjoanoliver",""
"Biblioteca Sant Gervasi - Joan Maragall",5,"Sarrià-Sant Gervasi",25.0,"Sant Gervasi - la Bonanova","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.4059495,2.1360639999999997,"http://www.bcn.cat/bibsantgervasi",""
"Biblioteca Sant Martí de Provençals",10,"Sant Martí",72.0,"Sant Martí de Provençals","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.41662396,2.198564569,"http://www.bcn.cat/bibsantmarti",""
"Biblioteca Sant Pau i Santa Creu",1,"Ciutat Vella",1.0,"el Raval","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.381057326,2.1697938569999997,"http://www.bcn.cat/bibsantpau",""
"Biblioteca Sofia Barat",2,"Eixample",7.0,"la Dreta de Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.394674294,2.17150448,"http://www.bcn.cat/bibsofiabarat",""
"Biblioteca Trinitat Vella - J. Barbero",9,"Sant Andreu",57.0,"la Trinitat Vella","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.449283144,2.190748711,"http://www.bcn.cat/bibtrinitatvella",""
"Biblioteca Vallcarca i els Penitents",6,"Gràcia",28.0,"Vallcarca i els Penitents","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.420008234,2.139657303,"http://www.bcn.cat/bibpenitents",""
