"N_EXPEDIENT","DISTRICTE","BARRI","TIPUS_CARRER","CARRER","TIPUS_NUM","NUM1","LLETRA1","NUM2","LLETRA2","BLOC","PORTAL","ESCALA","PIS","PORTA","NUMERO_REGISTRE_GENERALITAT","NUMERO_PLACES","LONGITUD_X","LATITUD_Y"
"10-2013-0427","SANT MARTI","el Poblenou","Carrer","ESPRONCEDA",2,88,"","","","","","","1","1","HUTB-006396",2.0,2.203840859,41.40338068
"10-2013-0428","SANT MARTI","el Poblenou","Carrer","ESPRONCEDA",2,88,"","","","","","","2","1","HUTB-006397",3.0,2.203840859,41.40338068
"02-2013-1033","L'EIXAMPLE","Sant Antoni","Carrer","TAMARIT",2,90,"","","","","","","4","","HUTB-006618",10.0,2.1558853730000003,41.37366488
"02-2013-0989","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","CALABRIA",2,222,"","","","","","","4","1","HUTB-006270",3.0,2.146749185,41.38340486
"02-2013-1026","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","5","2","HUTB-006578",5.0,2.153683016,41.37408937
"02-2013-1027","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","6","1","HUTB-006577",4.0,2.153683016,41.37408937
"03-2013-0338","SANTS-MONTJUÏC","Hostafrancs","Carrer","CREU COBERTA",2,50,"","","","","","","1","1","HUTB-006311",4.0,2.144919883,41.37345444
"10-2013-0429","SANT MARTI","el Poblenou","Carrer","LOPE DE VEGA",1,115,"","","","","","","PR","4","HUTB-006402",4.0,2.201146364,41.40343511
"03-2013-0351","SANTS-MONTJUÏC","Sants","Carrer","SAGUNT",1,71,"","","","","","","BJ","","HUTB-006398",4.0,2.1339598730000002,41.37002809
"02-2013-1009","L'EIXAMPLE","l'Antiga Esquerra de l'Eixample","Carrer","PROVENÇA",1,131,"",133.0,"","","","","PR","2","HUTB-006300",9.0,2.151135154,41.38607052
"02-2013-1010","L'EIXAMPLE","l'Antiga Esquerra de l'Eixample","Carrer","PROVENÇA",1,131,"",133.0,"","","","","3","4","HUTB-006301",7.0,2.151135154,41.38607052
"02-2013-1028","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","6","2","HUTB-006576",5.0,2.153683016,41.37408937
"02-2013-1021","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","3","1","HUTB-006333",4.0,2.153683016,41.37408937
"02-2013-1022","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","3","2","HUTB-006581",5.0,2.153683016,41.37408937
"02-2013-1029","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","7","2","HUTB-006575",5.0,2.153683016,41.37408937
"03-2013-0341","SANTS-MONTJUÏC","Hostafrancs","Carrer","CREU COBERTA",2,50,"","","","","","","4","2","HUTB-006381",4.0,2.144919883,41.37345444
"03-2013-0342","SANTS-MONTJUÏC","Hostafrancs","Carrer","CREU COBERTA",2,50,"","","","","","","4","1","HUTB-006382",4.0,2.144919883,41.37345444
"02-2013-1023","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","4","1","HUTB-006580",5.0,2.153683016,41.37408937
"07-2013-0148","HORTA-GUINARDÓ","el Baix Guinardó","Travessera","GRACIA",2,316,"",322.0,"","","B","","AT","1","HUTB-006377",6.0,2.167509601,41.40612516
"03-2013-0343","SANTS-MONTJUÏC","Hostafrancs","Carrer","CREU COBERTA",2,50,"","","","","","","3","2","HUTB-006383",4.0,2.144919883,41.37345444
"02-2013-1011","L'EIXAMPLE","la Sagrada Família","Carrer","SARDENYA",2,338,"","","","","","","2","2","HUTB-006312",5.0,2.1712947590000002,41.40238729
"03-2013-0344","SANTS-MONTJUÏC","Hostafrancs","Carrer","CREU COBERTA",2,50,"","","","","","","2","2","HUTB-006384",4.0,2.144919883,41.37345444
"03-2013-0345","SANTS-MONTJUÏC","Hostafrancs","Carrer","CREU COBERTA",2,50,"","","","","","","2","1","HUTB-006385",4.0,2.144919883,41.37345444
"03-2013-0346","SANTS-MONTJUÏC","Hostafrancs","Carrer","CREU COBERTA",2,50,"","","","","","","1","2","HUTB-006386",4.0,2.144919883,41.37345444
"02-2013-0982","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",1,163,"","","","","","","5","1","HUTB-003155",11.0,2.143235219,41.38236886
"02-2013-0983","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",1,163,"","","","","","","4","1","HUTB-003156",11.0,2.143235219,41.38236886
"02-2013-0969","L'EIXAMPLE","la Dreta de l'Eixample","Gran Via","CORTS CATALANES",1,667,"","","","","","","3","2","HUTB-006291",14.0,2.1728872480000003,41.39220146
"02-2013-1024","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","4","2","HUTB-006579",5.0,2.153683016,41.37408937
"02-2013-1025","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","5","1","HUTB-006374",4.0,2.153683016,41.37408937
"03-2013-0347","SANTS-MONTJUÏC","Hostafrancs","Carrer","CREU COBERTA",2,50,"","","","","","","PR","2","HUTB-006370",4.0,2.144919883,41.37345444
"02-2013-1016","L'EIXAMPLE","la Dreta de l'Eixample","Carrer","ROSSELLO",2,284,"","","","","","","2","2","HUTB-006495",8.0,2.164462523,41.39753584
"02-2013-1019","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","2","1","HUTB-006574",4.0,2.153683016,41.37408937
"02-2013-1020","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","2","2","HUTB-006582",4.0,2.153683016,41.37408937
"02-2013-0990","L'EIXAMPLE","la Sagrada Família","Carrer","VALENCIA",2,492,"","","","","","","AT","1","HUTB-006560",4.0,2.1781243409999997,41.40265647
"02-2013-1013","L'EIXAMPLE","Sant Antoni","Avinguda","MISTRAL",1,61,"","","","","","","1","2","HUTB-006494",5.0,2.153683016,41.37408937
"03-2013-0316","SANTS-MONTJUÏC","el Poble Sec","Carrer","POETA CABANYES",2,86,"","","","","","","PR","1","HUTB-006261",6.0,2.163027671,41.369564600000004
"02-2013-1015","L'EIXAMPLE","la Dreta de l'Eixample","Passatge","CONCEPCIO",2,2,"","","","","","","2","2","HUTB-006323",4.0,2.159472399,41.39314236
"01-2013-0447","CIUTAT VELLA","el Raval","Carrer","CARME",1,97,"","","","","","","2","3","HUTB-002975",7.0,2.165733516,41.37818292
"10-2013-0409","SANT MARTI","el Camp de l'Arpa del Clot","Carrer","INDUSTRIA",2,276,"B",280.0,"","","","","2","3","HUTB-006369",4.0,2.179151071,41.41213416
"10-2013-0410","SANT MARTI","el Camp de l'Arpa del Clot","Carrer","INDUSTRIA",2,276,"B",280.0,"","","","","3","2","HUTB-006387",5.0,2.179151071,41.41213416
"01-2013-0423","CIUTAT VELLA","el Raval","Carrer","CARME",2,10,"","","","","","","PR","1","HUTB-002970",4.0,2.169945817,41.38088211
"01-2013-0424","CIUTAT VELLA","el Raval","Carrer","CARME",2,10,"","","","","","","PR","2","HUTB-002971",4.0,2.169945817,41.38088211
"01-2013-0425","CIUTAT VELLA","el Raval","Carrer","CARME",2,10,"","","","","","","PR","3","HUTB-002972",5.0,2.169945817,41.38088211
"02-2013-1041","L'EIXAMPLE","la Dreta de l'Eixample","Carrer","BRUC",1,65,"","","","","","","AT","2","HUTB-006583",7.0,2.168990426,41.39190714
"10-2013-0417","SANT MARTI","el Poblenou","Carrer","PUJADES",2,286,"","","","","","","2","1","HUTB-006390",4.0,2.204886679,41.40372052
"10-2013-0411","SANT MARTI","el Camp de l'Arpa del Clot","Carrer","INDUSTRIA",2,276,"B",280.0,"","","","","3","4","HUTB-006371",6.0,2.179151071,41.41213416
"06-2013-0320","GRACIA","la Vila de Gràcia","Travessera","GRACIA",1,187,"","","","","","","2","4","HUTB-006325",4.0,2.158237765,41.40048459
"10-2013-0412","SANT MARTI","el Camp de l'Arpa del Clot","Carrer","INDUSTRIA",2,276,"B",280.0,"","","","","3","5","HUTB-006372",6.0,2.179151071,41.41213416
