"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns",431485.321,4590523.482,431393.38200000004,4590322.471,2.178486,41.461560999999996,"BUS -62-76-104-83-D50-199--",8,55,"Nou Barris","Ciutat Meridiana","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431332.63,4590381.592,431240.69200000004,4590180.5819999995,2.176674,41.46027,"BUS -83-D50--",8,55,"Nou Barris","Ciutat Meridiana","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429511.581,4580212.5430000005,429419.657,4580011.6280000005,2.1560580000000003,41.368524,"BUS -55--",3,11,"Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429616.415,4586441.194,429524.492,4586240.221,2.156586,41.424632,"BUS -19-86-87-H2--",7,37,"Horta-Guinardó","el Carmel","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",429616.415,4586441.194,429524.492,4586240.221,2.156586,41.424632,"NITBUS -N4--",7,37,"Horta-Guinardó","el Carmel","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429921.00200000004,4587007.488,429829.076,4586806.51,2.160165,41.429759000000004,"BUS -185-86-V25--",7,43,"Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429793.521,4587793.493,429701.597,4587592.507,2.158548,41.436827,"BUS -185--",7,43,"Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429522.969,4588221.156,429431.047,4588020.166999999,2.1552599999999997,41.440655,"BUS -185--",7,43,"Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns",426535.455,4583254.335,426443.56,4583053.392,2.120107,41.395654,"BUS -V3--",5,23,"Sarrià-Sant Gervasi","Sarrià","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",428294.225,4581632.008,428202.31299999997,4581431.08,2.1413349999999998,41.381201000000004,"NITBUS -N0--",3,18,"Sants-Montjuïc","Sants","",""
"K014","Transports i serveis relacionats","Autobusos diürns",432257.33700000006,4582771.183,432165.38899999997,4582570.243,2.1886,41.391805,"BUS -B25-B20-H16--",10,66,"Sant Martí","el Parc i la Llacuna del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns",424616.162,4587267.301,424524.285,4587066.322,2.09665,41.431618,"BUS -128--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429884.066,4579909.68,429792.13899999997,4579708.767,2.160546,41.365829,"BUS -150--",3,11,"Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431383.85299999994,4590647.579,431291.915,4590446.567,2.177257,41.46267,"BUS -62-76-83--",8,55,"Nou Barris","Ciutat Meridiana","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431266.999,4590515.01,431175.06200000003,4590313.999,2.175873,41.461465999999994,"BUS -62-76-83--",8,55,"Nou Barris","Ciutat Meridiana","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",431266.999,4590515.01,431175.06200000003,4590313.999,2.175873,41.461465999999994,"NITBUS -N3--",8,55,"Nou Barris","Ciutat Meridiana","",""
"K014","Transports i serveis relacionats","Autobusos diürns",432522.37799999997,4586751.688,432430.42799999996,4586550.711,2.191325,41.427678,"BUS -11-H6--",9,61,"Sant Andreu","la Sagrera","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431456.596,4590743.929,431364.657,4590542.916,2.178117,41.463544,"BUS -62-76-104-83--",8,55,"Nou Barris","Ciutat Meridiana","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",427887.482,4575935.54,427795.57200000004,4575734.665,2.137149,41.329859,"NITBUS -N1--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",428263.005,4584194.13,428171.094,4583993.178,2.140658,41.404274,"NITBUS -N0--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",431842.321,4590526.541,431750.37899999996,4590325.53,2.18276,41.461619,"NITBUS -N3--",8,56,"Nou Barris","Vallbona","",""
"K014","Transports i serveis relacionats","Autobusos diürns",426233.35799999995,4576416.509,426141.463,4576215.63,2.117326,41.334041,"BUS -109--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell","",""
"K014","Transports i serveis relacionats","Autobusos diürns",428329.56799999997,4577800.34,428237.654,4577599.447,2.142211,41.346694,"BUS -21--",3,12,"Sants-Montjuïc","la Marina del Prat Vermell","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",431312.708,4582039.659,431220.768,4581838.726,2.1773849999999997,41.385135999999996,"NITBUS -N8-N28--",1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","",""
"K014","Transports i serveis relacionats","Autobusos diürns",432365.792,4581279.598,432273.842,4581078.672,2.1900630000000003,41.37838,"BUS -47-59-D20--",1,3,"Ciutat Vella","la Barceloneta","",""
