"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Consorci d'Educació de Barcelona. Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona. Districte 2. Eixample","2014. 2015. 2016","","2015","2015","","","","","","application/pdf","32 p.","","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/85153","cat","Consorci d'Educació de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Consorci d'Educació de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rendiment escolar. Educació. Fracàs escolar","Educació","plans estratègics","Pla d'Educació per a l'èxit escolar 2014-2016 Eixample (Barcelona)","Pla d'educació per a l'èxit escolar 2014-2016 : Eixample","","text",""
"","Gerència de Serveis Generals i Coordinació Territorial. Àrea d'Habitatge, Urbanisme i Règim Interior","","Bordeta (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","32 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84991","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de la Bordeta 2010-2020 (Barcelona)","Pla de futur del barri de la Bordeta : 2010-2020","","text",""
"","Àrea d'Habitatge, Urbanisme i Règim Interior. Gerència de Serveis Generals i Coordinació Territorial","","Vall d'Hebron (Barcelona: Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","45 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85006","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de la Vall d'Hebron 2010-2020 (Barcelona)","Pla de futur del barri de la Vall d'Hebron : 2010-2020","","text",""
"","Gerència de Serveis Generals i Coordinació Territorial. Àrea d'Habitatge, Urbanisme i Règim Interior","","Canyelles (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","17 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85014","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de Canyelles 2010-2020 (Barcelona)","Pla de futur del barri de Canyelles : 2010-2020","","text",""
"","Sector de Via Pública","","Barcelona","1995. 1996. 1997. 1998. 1999","","1996-09","1996","","","","Digitalitzat pel SEDAC","","application/pdf","48 p.","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84918","cat","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei d'Extinció d'Incendis i Salvament. Bombers. Incendis","Seguretat","plans estratègics. documents digitalitzats","Pla Director Servei d'Extinció d'Incendis i Salvament","Pla Director Servei d'Extinció d'Incendis i Salvament : document resum","","text",""
"","Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia","2008. 2009. 2010. 2011","","2008","2008","","","","","","application/pdf","46 p.","PAD2008_2012_GR_DEF","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/96385","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política d'ocupació. Seguretat ciutadana. Ordenació del territori. Rehabilitació urbana. Desenvolupament urbà sostenible. Política de l'habitatge. Espais públics","Sector públic","plans estratègics","Programa d'Actuació del Districte de Gràcia (PAD) 2008-2011 (Barcelona)","Programa d'Actuació del Districte de Gràcia: 2008-2011: proposta de Programa d'Actuació del Districte informat favorablement pel Consell Plenari del Districte","","text",""
"","Àrea d'Hisenda i Promoció Econòmica. Turisme de Barcelona","","Barcelona","2008. 2009. 2010","","2009","2009","","","","","","application/pdf","36 p.","","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/85064","cat. cas. eng","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme urbà","Turisme","plans estratègics","Pla Estratègic de Turisme de la Ciutat de Barcelona 2010-2015","Pla Estratègic de Turisme de la Ciutat de Barcelona : maig 2009 [versió en català, castellà i anglès]","","text",""
"","Direcció del Sistema Municipal d'Arxius. Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","2012. 2013. 2014. 2015","","2012-12-11","2012","","","","","","application/pdf","29 p.","17844","","","","Mandat 2011-2015","http://hdl.handle.net/11703/83393","cat","","","","","","","","","","","","","CC-BY","openAccess","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Arxius municipals","Cultura i oci","plans estratègics","Pla Director d'Arxius 2012-2015 (Barcelona)","Pla director d'arxius 2012-2015","","text",""
"","Àrea de Benestar i Cohesió Territorial","","Barcelona","2008. 2009. 2010. 2011. 2012. 2013. 2014. 2015","","2008-05-30","2008","","","","","","application/pdf","18 p.","","PEJB2008_2015_RESUM","","","Mandat 2007-2011","http://hdl.handle.net/11703/86533","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Joventut. Casals de joves","Societat i benestar. Urbanisme i infraestructures","plans estratègics","Pla d'Equipaments juvenils de Barcelona 2008-2015","Pla d'equipaments juvenils de Barcelona 2008-2015 [versió resum]","","text",""
"","Institut Infància i Adolescència de Barcelona","","Barcelona","2016. 2017. 2018. 2019. 2020","Si","2016-10-13","2016","","Aprovat pel Consell de Govern del Consorci de l'Institut Infància i Adolescència de Barcelona de 13-10-2016","","","","application/pdf","","","","","consorcis","Mandat 2015-","http://hdl.handle.net/11703/105083","cat","","","","","","","","","","","","","CC-BY-NC-SA","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Institut Infància i Adolescència de Barcelona. Política social. Infants. Adolescents","Societat i benestar","plans estratègics","","Pla estratègic 2016-2020","Fem avançar els drets de la infància i l'adolescència generant i compartint coneixement per millorar polítiques locals","text",""
"","Ajuntament de Barcelona","","Barcelona","2012. 2013. 2014. 2015","","2013","2013","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/85129. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/85072","","","","application/pdf","113 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85130","cas","","http://hdl.handle.net/11703/85129. http://hdl.handle.net/11703/85072","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica","Sector públic","plans estratègics","Programa d'Actuació Municipal (PAM) 2012-2015 (Barcelona)","Pacto entre la política y la gestión : marco estratégico y hoja de ruta 2012-2015","","text",""
"","Àrea de Prevenció, Seguretat i Mobilitat","","Barcelona","2004. 2005. 2006. 2007. 2008","","2009","2009","","","","","","application/pdf","123 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85059","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei de Prevenció, Extinció d'Incendis i Salvament. Bombers. Incendis","Seguretat","plans estratègics","Pla Director de Bombers de Barcelona 2009-2011","Pla director de Servei de Prevenció, Extinció d'Incendis i Salvament (SPEIS) -Bombers de Barcelona : 2009","","text",""
"","Foment de Ciutat, S.A.","","Bon Pastor (Barcelona : Barri). Barcelona. Districte 9. Sant Andreu","2016. 2017. 2018. 2019. 2020","","2016-07","2016-07","","Es basa en la Mesura de govern per a la implementació del programa de Pla de Barris contra la desigualtat [http://hdl.handle.net/11703/97374]. Es basa en el document Transformar la ciutat amb la ciutadania : criteris i reflexions per al Pla de Barris de Barcelona [http://hdl.handle.net/11703/101848]","","","","application/pdf","113 p.","","","","societats mercantils","Mandat 2015-","http://hdl.handle.net/11703/98097","cat","","","","","http://hdl.handle.net/11703/97374. http://hdl.handle.net/11703/101848","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infraestructures urbanes. Equipaments col·lectius. Política social. Política educativa","Habitatge. Societat i benestar. Urbanisme i infraestructures","plans estratègics","Pla de Barris del Bon Pastor i Baró de Viver 2016-2020 (Barcelona). Pla de Barris 2016-2026 (Barcelona)","Pla de Barris del Bon Pastor i Baró de Viver","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2013. 2014. 2015. 2016","","2013-05-31","2013","","Presentada al Plenari del Consell Municipal de 31-05-2013. Citada a la Gaseta Municipal núm. 21 (10/07/2013)","","","","application/pdf","124 p.","11435","","","","Mandat 2011-2015. Mandat 2015-","http://hdl.handle.net/11703/84765","cat","Ajuntament de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Persones grans. Política social","Societat i benestar","mesures de govern. plans estratègics","Pla Municipal per a les Persones Grans 2013-2016 (Barcelona)","Pla Municipal per a les Persones Grans : 2013-2016 : mesura de govern","","text",""
"","Àrea de Drets Socials. Gerència d'Habitatge","","Barcelona","2016. 2017. 2018. 2019. 2020. 2021. 2022. 2023. 2024. 2025. 2026","","2016-10-21","2016","","","","","","application/pdf","89 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/98727","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatge. Habitatge públic. Política de l'habitatge. Política social","Habitatge","plans estratègics","Pla pel Dret a l'Habitatge de Barcelona 2016-2025","Pla pel Dret a l'Habitatge de Barcelona 2016-2025 : resum executiu","","text",""
"","Àrea de Benestar i Cohesió Territorial. Regidoria de Participació Ciutadana, Solidaritat i Cooperació","","Barcelona","2009. 2010. 2011. 2012","","2009","2009","","","","","","application/pdf","31 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85057","eng","Regidoria de Participació Ciutadana, Solidaritat i Cooperació","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Solidaritat. Cooperació internacional","Societat i benestar","plans estratègics","Pla Director de Cooperació Internacional i Solidaritat 2009-2012 (Barcelona)","Master Plan for International Cooperation, Solidarity and Peace 2009-2012 : 18 December 2008","","text",""
"","Àrea d'Acció Social i Ciutadania","","Barcelona","2010. 2011. 2012. 2013. 2014. 2015","","2010","2010","","","","Digitalitzat pel SEDAC","","application/pdf","48 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85027","cat","","","","","http://hdl.handle.net/11703/96309","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets civils. Homosexuals. Lesbianes. Transsexuals. Bisexuals","Societat i benestar","plans estratègics. documents digitalitzats","Pla Municipal per al Col·lectiu Lesbià, Gai, Transsexual i Bisexual 2010-2015 (Barcelona)","Pla municipal per al col·lectiu lesbià, gai, transsexual i bisexual 2010-2015","","text",""
"","Gerència de Serveis Generals i Coordinació Territorial. Àrea d'Habitatge, Urbanisme i Règim Interior","","Sagrada Família (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","13 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84982","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de la Sagrada Família 2010-2020 (Barcelona)","Pla de futur del barri de la Sagrada Família : 2010-2020 : Districte de l'Eixample","","text",""
"","Comissió de Presidència i Règim Interior. Direcció de Comunicació i Atenció Ciutadana. Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","2012","","2012","2012","","Presentat a la Comissió de Presidència i Règim interior, del Consell Municipal, del 26-12-2012, pel Sr. Jordi Martí i Galbis (Regidor de Presidència i Règim Interior)","","","","application/pdf","12 p.","9920","","","","Mandat 2011-2015","http://hdl.handle.net/11703/86320","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Comunicació. Xarxes socials","Ciència i tecnologia","plans estratègics","Pla Comunicació Digital i xarxes socials (Barcelona)","Pla Comunicació Digital i xarxes socials de l'Ajuntament de Barcelona","","text",""
"","Consorci de Biblioteques de Barcelona","","Barcelona","2016","","2015-11-06","2015","","","","","","application/pdf","13 p.","","","","consorcis","Mandat 2015-","http://hdl.handle.net/11703/85188","cat","","","","","","","","","","","","","CC-BY","openAccess","","","http://creativecommons.org/licenses/by/4.0/deed.ca","","Cultura i oci","plans estratègics","Pla de Biblioteques 2011-2020 (Barcelona)","Pla d'Acció 2016: Biblioteques de Barcelona","","text",""
"","Districte 3. Sants-Montjuïc. Barcelona Activa, S.A.","","Barcelona. Districte 3. Sants-Montjuïc","2017. 2018. 2019. 2020. 2021","","2017","2018-02","","","","","","application/pdf","82 p.","","","","districtes. societats mercantils","Mandat 2015-","http://hdl.handle.net/11703/108540","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 3. Sants-Montjuïc. Política econòmica. Política social. Política laboral. Desenvolupament comunitari","Economia. Societat i benestar. Ocupació","plans estratègics","Pla de Desenvolupament Econòmic de Sants-Montjuïc 2017-2021 (Barcelona)","Treballem per una economia més propera : Pla de Desenvolupament Econòmic de Sants-Montjuïc 2017-2021","","text",""
