"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdescriptionversion","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 48"
"","","Barcelona Cicle de l'Aigua, S.A.","","Barcelona | Barcelona | Barcelona","2018","","2018-08-31","2018-09-01","","","","","","application/pdf","3 p.","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/111041","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Barcelona Cicle de l'Aigua, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.en | http://creativecommons.org/licenses/by/4.0/deed.es","Dipòsits d'aigua | Aigua de pluja | Water tanks | Rain-water | Depósitos de agua | Agua de lluvia","Medi ambient | Urbanisme i infraestructures","informes altres","","Informe de pluja i dipòsits [versió resumida] : període del 31 d'agost al 1 de setembre de 2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Agència Local d'Energia de Barcelona | Societat Orgànica +10, S.C.C.L.","","Barcelona | Barcelona | Barcelona","2016","","2016-02","2017-01","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/110916 | Podeu consultar l'Estudi en edificacions de nova planta d'ús terciari a: http://hdl.handle.net/11703/110637 | Fa referència a l'Ordenança del medi ambient de Barcelona [2011] [http://hdl.handle.net/11703/86859]","","","","","application/pdf","90 p.","application/pdf","","","consorcis","","","http://hdl.handle.net/11703/110638","cat","","http://hdl.handle.net/11703/110916 | http://hdl.handle.net/11703/110637","","","","","","","http://hdl.handle.net/11703/86859","","","CC-BY","info:eu-repo/semantics/openAccess","","Agència Local d'Energia de Barcelona | Societat Orgànica +10, S.C.C.L.","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.es | http://creativecommons.org/licenses/by/4.0/deed.en","Estalvi d'energia | Consum d'energia | Edificis d'habitatges | Ahorro de energía | Consumo de energía | Edificios de viviendas | Energy conservation | Energy consumption | Dwellings","Energia | Habitatge","informes altres","","Anàlisi d'escenaris de qualificació energètica d'edificis a Barcelona : estudi en edificacions de nova planta d'ús residencial","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció de Serveis d'Acció Comunitària | Gerència de Drets de Ciutadania, Participació i Transparència | Alcántara Alcántara, Antonio","","Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Granollers (Catalunya) | Sant Boi de Llobregat (Catalunya) | Montcada i Reixac (Catalunya) | Tarragona (Catalunya) | Prat de Llobregat (Catalunya) | Irún (País Basc) | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 9. Sant Andreu | Granollers (Cataluña) | Sant Boi de Llobregat (Cataluña) | Montcada i Reixac (Cataluña) | Tarragona (Cataluña) | Prat de Llobregat (Cataluña) | Irún (País Vasco) | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Granollers (Catalonia) | Sant Boi de Llobregat (Catalonia) | Montcada i Reixac (Catalonia) | Tarragona (Catalonia) | Prat de Llobregat (Catalonia) | Irún (Basque Country)","","","2018-04","2018-04","Sol·licitant de l’informe: Gerència de Drets de Ciutadania, Participació i Transparència. Direcció de Serveis d'Acció Comunitària | Podeu consultar la versió en català a: http://hdl.handle.net/11703/110369","","","","","application/pdf","40 p.","application/pdf","","","","","","http://hdl.handle.net/11703/116979","cat","","http://hdl.handle.net/11703/110369","","","","","","","","","","CC-BY-SA","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","https://creativecommons.org/licenses/by-sa/4.0/deed.ca","Espais públics | Treball social comunitari | Estudi de casos | Espacios públicos | Trabajo social comunitario | Estudio de casos | Public spaces | Community organization | Case studies","Societat i benestar","informes altres","","Investigación : acción comunitaria en medio abierto : estudio de casos","","text","info:eu-repo/semantics/report",""
"","","Barcelona Activa, S.A.","Fundació Privada Ascamm Centre Tecnològic","Barcelona | Barcelona | Barcelona","","","2013","2013","A la portada: Barcelona Treball","","","","","application/pdf","25 p.","application/pdf","17982","","societats mercantils","","","http://hdl.handle.net/11703/90026","cat","Barcelona Activa, S.A.","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Indústria | Aeronàutica | Industry | Aeronautics | Industria | Aeronáutica","Economia | Indústria","informes altres","","Indústria aeroespacial: informe sectorial 2013","Informe sectorial: indústria aeropespacial","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Artazcoz Lazcano, Lucía | Juárez-Martínez, Olga | Pasarín Rúa, Maria Isabel | Pérez, Catherine | Pérez, Glòria | Salvador, María | Garrido, Amaia | Otero Fernández, Isabel","","Barcelona | Barcelona | Barcelona","","","2019","2019","","","","","","application/pdf","42 p.","application/pdf","","","","","","http://hdl.handle.net/11703/116604","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Violència envers les dones | Violencia contra las mujeres | Violence against women | Salut pública | Salud pública | Public health","Salut","informes altres","","Violència masclista en l'àmbit de la parella des d'una perspectiva de salut pública : marc conceptual","","text","info:eu-repo/semantics/report",""
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011-10","2011-10","A la portada: Capital humà","","","","","application/pdf","15 p.","application/pdf","9115","","societats mercantils","","","http://hdl.handle.net/11703/90924","cat","Barcelona Activa, S.A.","http://hdl.handle.net/11703/91147","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Bancs | Finances | Banks | Finance | Bancos | Finanzas","Economia","informes altres","","Informe sectorial: banca i finances","Banca i finances: informe sectorial","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Política Econòmica i Desenvolupament Local | Barcelona Activa, S.A. | Universitat Autònoma de Barcelona | Carrasquer, Pilar | Amaral Pinto, Mariana do","","Barcelona | Barcelona | Barcelona","","","2019","2019","","","","","","application/pdf","109 p.","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/117472","cat","","","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Carrasquer, Pilar | Amaral Pinto, Mariana do","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Igualtat retributiva | Pay equity | Igualdad salarial | Mercat de treball | Mercado de trabajo | Labor market | Dones | Mujeres | Women | Ocupació | Employment (Economic theory) | Empleo","Economia","informes altres","","El terra enganxós de les dones a la ciutat de Barcelona","","text","info:eu-repo/semantics/report",""
"","","Sector de Serveis Personals","","Barcelona | Barcelona | Barcelona","2004 | 2005 | 2006 | 2007","","2007","2007-04-12","","","","","","application/pdf","32 p.","application/pdf","1598","","","","","http://hdl.handle.net/11703/89230","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política de l'habitatge | Habitatge públic | Housing policy | Public housing | Política de vivienda | Viviendas de protección oficial","Habitatge","informes altres","Pla d'Habitatge de Barcelona 2004-2010 | Programa de Construcció de Nous Habitatges Protegits 2004-2007 (Barcelona)","Programa de construcció de nous habitatges protegits 2004-2007","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Regidoria de Participació i Districte | Gerència de Drets de Ciutadania, Participació i Transparència | Institut d'Estudis Regionals i Metropolitans de Barcelona","","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Districte 2. Eixample | Barcelona. Distrito 2. Eixample | Barcelona. District 2. Eixample | Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. District 3. Sants-Montjuïc | Barcelona. Districte 4. Les Corts | Barcelona. Distrito 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. Districte 6. Gràcia | Barcelona. Distrito 6. Gràcia | Barcelona. District 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. District 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Distrito 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Distrito 9. Sant Andreu | Barcelona. District 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | Barcelona. District 10. Sant Martí","","","2018-12","2018","","","","","","application/pdf","73 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115394","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Participación ciudadana | Citizen participation | Descentralització administrativa | Descentralización administrativa | Decentralization in government | Districtes municipals | Distritos municipales | Local districts","Societat i benestar","informes altres","","Anàlisi i orientacions per la millora de la participació en els Districtes de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Consell Municipal d'Immigració (Barcelona) | Gerència de Drets de Ciutadania, Participació i Transparència | Àrea de Drets de Ciutadania, Cultura, Participació i Transparència | Direcció de Serveis de Drets de Ciutadania i Diversitat | Gallardo Rodríguez, Claudia","","Barcelona | Barcelona | Barcelona","","","2018-11-27","2018-12","Propostes del Consell Municipal d'Immigració aprovades en Consell Plenari de 27-11-2018","","","","","application/pdf","35 p.","application/pdf","","","consells","","","http://hdl.handle.net/11703/112658","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Immigrants | Emigrantes | Immigrants | Dret a l'habitatge | Derecho a la vivienda | Right to housing","Habitatge | Societat i benestar","informes altres","","Persones immigrades i discriminació en el dret a l'habitatge. Propostes del Consell Municipal d'Immigració","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Feminismes i LGTBI | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","2015 | 2016","","2016","2016","Podeu consultar la versió en català a: http://hdl.handle.net/11703/109221 i la versió en anglès a: http://hdl.handle.net/11703/109220","","","","","application/pdf","45 p.","application/pdf","","","","","","http://hdl.handle.net/11703/109219","spa","","http://hdl.handle.net/11703/109221 | http://hdl.handle.net/11703/109220","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució | Política social | Agència per a l'Abordatge Integral del Treball Sexual | Prostitution | Social policy | Agència per a l'Abordatge Integral del Treball Sexual | Prostitución | Política social | Agència per a l'Abordatge Integral del Treball Sexual","Societat i benestar","informes altres","","Informe sobre los servicios y programas que componen la Agencia para el Abordaje Integral del Trabajo Sexual (ABITS) : 2016","Informe ABITS 2016","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Feminismes i LGTBI | Spora Sinergies, S.C.C.L. | Universitat de Vic. Càtedra Unesco Dones, desenvolupament i cultures","","Barcelona | Barcelona | Barcelona","","","2016","2017","","","","","","application/pdf","50 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/112356","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució | Transsexuals | Dones | Prostitution | Transsexuals | Women | Prostitución | Transexuales | Mujeres","Sector públic","informes altres","Programa Carolines 2017-","Programa Carolines. Proposta d'accions dirigides al col·lectiu de dones trans que exerceixen treball sexual (DTTS) a la ciutat de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Cicle de l'Aigua, S.A.","","Barcelona | Barcelona | Barcelona","2018","","2018-11-15","2018-11-16","","","","","","application/pdf","3 p.","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/111586","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Barcelona Cicle de l'Aigua, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Dipòsits d'aigua | Aigua de pluja | Water tanks | Rain-water | Depósitos de agua | Agua de lluvia","Medi ambient | Urbanisme i infraestructures","informes altres","","Informe de pluja i dipòsits [versió resumida] : període del 15 de novembre al 16 de novembre de 2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Col·legi d'Aparelladors i Arquitectes Tècnics de Barcelona | Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2013","2013","A la portada: Barcelona Treball","","","","","application/pdf","22 p.","application/pdf","17475","","societats mercantils","","","http://hdl.handle.net/11703/91182","cat","Barcelona Activa, S.A.","http://hdl.handle.net/11703/90965","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Indústria de la construcció | Construction industry | Industria de la construcción","Indústria","informes altres","","Construcció: informe sectorial 2013","Informe sectorial: construcció","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A.","Associació de Prevenció d'Accidents de Trànsit","Barcelona | Barcelona | Barcelona","","","2013","2013","A la portada: Barcelona Treball","","","","","application/pdf","24 p.","application/pdf","17477","","societats mercantils","","","http://hdl.handle.net/11703/91183","cat","Barcelona Activa, S.A.","http://hdl.handle.net/11703/90942","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Transport terrestre | Ground transportation | Transporte terrestre","Transport","informes altres","","Transport terrestre: informe sectorial 2013","Informe sectorial: transport terrestre","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A. | Centre de Recerca en Economia i Desenvolupament Agroalimentari","Mercabarna, S.A.","Barcelona | Barcelona | Barcelona","","","2010-11","2010-11","A la portada: Capital humà","","","","","application/pdf","18 p.","application/pdf","9136","","societats mercantils","","","http://hdl.handle.net/11703/90936","cat","Barcelona Activa, S.A.","http://hdl.handle.net/11703/91178","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Indústria agroalimentària | Agricultural processing industries | Industria agroalimentaria","Indústria","informes altres","","Informe sectorial: indústria agroalimentària","Indústria agroalimentària: informe sectorial","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Obert","Turisme de Barcelona | Observatori del Turisme a Barcelona, ciutat i regió","","Barcelona | Barcelona | Barcelona","","","2018","2018","","","","","","application/pdf","1 document (4 fitxers)","application/pdf","","","consorcis","","","http://hdl.handle.net/11703/110969","eng | spa | cat","Turisme de Barcelona | Diputació de Barcelona | Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Turisme de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme | Tourism | Turismo","Turisme","revistes i anuaris | informes altres","","Informe de l'activitat turística a Barcelona. 2017","Turisme a Barcelona : informe anual | Barcelona tourism : activity report | Informe de la actividad turística en Barcelona.","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Cicle de l'Aigua, S.A.","","Barcelona | Barcelona | Barcelona","2019","","2019-05-17","2019-05-18","","","","","","application/pdf","3 p.","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/114092","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Barcelona Cicle de l'Aigua, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Dipòsits d'aigua | Aigua de pluja | Water tanks | Rain-water | Depósitos de agua | Agua de lluvia","Medi ambient | Urbanisme i infraestructures","informes altres","","Informe de pluja i dipòsits [versió resumida] : període del 17 al 18 de maig de 2019","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Feminismes i LGTBI | Garaizabal, Cristina | Mas Grau, Jordi | Almirall, Rosa | Vega, Soraya | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2016","2016-04","Podeu consultar una altra versió del document en català a: http://hdl.handle.net/11703/97338 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/105920 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/113868 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/105919","","","","","application/pdf","76 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/105919","spa","","http://hdl.handle.net/11703/97338 | http://hdl.handle.net/11703/105920 | http://hdl.handle.net/11703/113868 | http://hdl.handle.net/11703/105919","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Transsexuals | Serveis sanitaris | Transsexuals | Health services | Transexuales | Servicios de salud","Societat i benestar | Salut","informes altres","Pla Municipal per la Diversitat Sexual i de Gènere 2016-2020 (Barcelona)","Informe de modelo de acompañamiento y asistencia a personas trans en la ciudad de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Consell Econòmic i Social de Barcelona | Haro, Raquel de | Comissions Obreres de Catalunya | Castellà, Pilar | Unió General de Treballadors de Catalunya | Foment del Treball Nacional | Fernández Manrique, José Antonio | Recio, Mireia","Departament d'Estadística | Servicio Público de Empleo Estatal (Espanya). Observatorio Ocupacional de Barcelona","Barcelona | Barcelona | Barcelona","2013","","2014","2014","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/88815","","","","","application/pdf","65 p.","application/pdf","13748","","consells","","","http://hdl.handle.net/11703/86795","cat","Consell Econòmic i Social de Barcelona","http://hdl.handle.net/11703/88815","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","","Consell Econòmic i Social de Barcelona","","Dones | Mercat de treball | Women | Labor market | Mujeres | Mercado de trabajo","Societat i benestar | Ocupació","informes altres","","Dones i el mercat de treball a Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Drets de Ciutadania, Participació i Transparència | Direcció de Democràcia Activa i Descentralització | Observatori Internacional de la Democràcia Participativa | Alarcón Pérez, Pau | García Espín, Patricia | Welp, Yanina | Font Fábregas, Joan","","Barcelona | Barcelona | Barcelona","","","2018","2018-10","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/111654 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/111656","","","","","application/pdf","119 p.","application/pdf","","","","","","http://hdl.handle.net/11703/111655","cat","","http://hdl.handle.net/11703/111654 | http://hdl.handle.net/11703/111656","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Observatori Internacional de la Democràcia Participativa","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Política pública | Estudi de casos | Citizen participation | Government policy | Case studies | Participación ciudadana | Política gubernamental | Estudio de casos","Sector públic","informes altres","","Signar per influir en política? : models i experiències d’iniciativa ciutadana local","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut Infància i Adolescència de Barcelona | Àrea de Drets Socials | Institut d'Estudis Regionals i Metropolitans de Barcelona | Gerència de Drets Socials","","Barcelona | Barcelona | Barcelona","","","2018","2019","Sol·licitant de l’informe: Àrea de Drets Socials  L'informe recull tots els treballs realitzats en el marc del programa Parlen els Nens i Nenes: el benestar subjectiu de la infància a Barcelona, en especial les principals troballes de la recerca sobre benestar subjectiu, així com les onze demandes de millora de l'Agenda dels infants.","","","","","application/pdf","126 p.","application/pdf","","","","","","http://hdl.handle.net/11703/115328","cat","","","","","","","","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Drets dels infants | Derechos de los niños | Children's rights | Infants | Niños | Children","","informes altres","Programa Parlen els nens i nenes : el benestar subjectiu de la infància a Barcelona 2016-","Parlen els nens i nenes: el benestar subjectiu de la infància a Barcelona 2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
